Ticker,Description,Exchange,Category
YI=F,"1,000 oz Mini Silver",NYB,Commodities
ALI=F,Aluminum ,CMX,Commodities
BLK=F,Block Cheese ,CME,Commodities
AW=F,Bloomberg Commodity Index ,CBT,Commodities
BZ=F,Brent Crude Oil Last Day Finance,NYM,Commodities
BZT=F,Brent Crude Oil Last Day ,NYM,Commodities
CB=F,Cash-Settled Butter ,CME,Commodities
CSC=F,Cash-Settled Cheese ,CME,Commodities
GEO=F,CBL Global Emissions Offset ,NYM,Commodities
ZW=F,Chicago SRW Wheat ,CBT,Commodities
ZWT=F,Chicago SRW Wheat TAS,CBT,Commodities
DC=F,Class III Milk ,CME,Commodities
GDK=F,Class IV Milk ,CME,Commodities
HG0=F,Copper Spot TAS ,CMX,Commodities
HGT=F,Copper TAS ,CMX,Commodities
ZC=F,Corn ,CBT,Commodities
ZCT=F,Corn TAS ,CBT,Commodities
CLT=F,Crude Oil TAS ,NYM,Commodities
DY=F,Dry Whey ,CME,Commodities
QC=F,E-mini Copper ,CMX,Commodities
QM=F,E-mini Crude Oil,NYM,Commodities
XAE=F,E-mini Energy Select Sector ,CME,Commodities
QO=F,E-mini Gold ,CMX,Commodities
QG=F,E-mini Natural Gas,NYM,Commodities
QH=F,E-mini NY Harbor ULSD,NYM,Commodities
QU=F,E-mini RBOB Gasoline,NYM,Commodities
QI=F,E-mini Silver,CMX,Commodities
GF=F,Feeder Cattle,CME,Commodities
GFT=F,Feeder Cattle TAS ,CME,Commodities
GCT=F,Gold TAS ,CMX,Commodities
KE=F,KC HRW Wheat ,CBT,Commodities
KET=F,KC HRW Wheat TAS,CBT,Commodities
HE=F,Lean Hogs ,CME,Commodities
HET=F,Lean Hogs TAS ,CME,Commodities
LE=F,Live Cattle ,CME,Commodities
LET=F,Live Cattle TAS ,CME,Commodities
MHG=F,Micro Copper ,CMX,Commodities
MGC=F,Micro Gold ,CMX,Commodities
SIL=F,Micro Silver ,CMX,Commodities
MCL=F,Micro WTI Crude Oil ,NYM,Commodities
YG=F,Mini Gold - ICUS ,NYB,Commodities
XK=F,Mini Soybean ,CBT,Commodities
XC=F,Mini Corn ,CBT,Commodities
XW=F,Mini Chicago SRW Wheat,CBT,Commodities
GNF=F,Nonfat Dry Milk,CME,Commodities
ZO=F,Oats,CBT,Commodities
PRK=F,Pork Cutout ,CME,Commodities
RBT=F,RBOB Gasoline TAS ,NYM,Commodities
ZR=F,Rough Rice ,CBT,Commodities
GD=F,S&P GSCI Commodity Index ,CME,Commodities
SIT=F,Silver TAS ,CMX,Commodities
ZS=F,Soybean ,CBT,Commodities
ZM=F,Soybean Meal ,CBT,Commodities
ZMT=F,Soybean Meal TAS ,CBT,Commodities
ZL=F,Soybean Oil ,CBT,Commodities
ZLT=F,Soybean Oil TAS ,CBT,Commodities
SBT=F,Soybean TAS ,CBT,Commodities
ZN=F,10-Year T-Note ,CBT,Credit
N1U=F,10-Year USD MAC Swap,CBT,Credit
TWE=F,20-Year U.S. Treasury Bond,CBT,Credit
ZT=F,2-Year T-Note ,CBT,Credit
F1U=F,5-Year USD MAC Swap ,CBT,Credit
RX=F,Dow Jones Real Estate,CBT,Credit
GE=F,Eurodollar ,CME,Credit
ZF=F,Five-Year US Treasury Note,CBT,Credit
10Y=F,Micro 10-Year Yield ,CBT,Credit
2YY=F,Micro 2-Year Yield ,CBT,Credit
30Y=F,Micro 30-Year Yield ,CBT,Credit
5YY=F,Micro 5-Year Yield ,CBT,Credit
SR1=F,One-Month SOFR ,CME,Credit
ZFT=F,TAS on 5-Year Treasury Note ,CBT,Credit
ZQ=F,Thirty-Day Fed Fund ,CBT,Credit
Z3N=F,Three Year Treasury Note ,CBT,Credit
SR3=F,Three-Month SOFR,CME,Credit
ZB=F,U.S. Treasury Bond,CBT,Credit
UB=F,Ultra U.S. Treasury Bond ,CBT,Credit
BTM=F,Bakkt BTC (USD) Monthly ,NYB,Crypto
BTC=F,Bitcoin ,CME,Crypto
ETH=F,Ether ,CME,Crypto
MBT=F,Micro Bitcoin ,CME,Crypto
MET=F,Micro Ether ,CME,Crypto
6A=F,Australian Dollar ,CME,Forex
6L=F,Brazilian Real ,CME,Forex
6B=F,British Pound ,CME,Forex
PJY=F,British Pound/Japanese Yen,CME,Forex
PSF=F,British Pound/Swiss Franc ,CME,Forex
6C=F,Canadian Dollar,CME,Forex
E7=F,E-mini Euro FX ,CME,Forex
J7=F,E-mini Japanese Yen ,CME,Forex
6E=F,Euro FX ,CME,Forex
EAD=F,Euro/Australian Dollar,CME,Forex
RP=F,Euro/British Pound,CME,Forex
ECD=F,Euro/Canadian Dollar,CME,Forex
RY=F,Euro/Japanese Yen,CME,Forex
ENK=F,Euro/Norwegian Krone,CME,Forex
ESK=F,Euro/Swedish Krona,CME,Forex
RF=F,Euro/Swiss Franc,CME,Forex
SIR=F,Indian Rupee/USD,CME,Forex
6J=F,Japanese Yen ,CME,Forex
KRW=F,Korean Won ,CME,Forex
6M=F,Mexican Peso ,CME,Forex
M6A=F,Micro AUD/USD ,CME,Forex
MCD=F,Micro CAD/USD ,CME,Forex
MSF=F,Micro CHF/USD ,CME,Forex
M6E=F,Micro EUR/USD ,CME,Forex
M6B=F,Micro GBP/USD ,CME,Forex
MIR=F,Micro INR/USD ,CME,Forex
M6C=F,Micro USD/CAD ,CME,Forex
M6J=F,Micro USD/JPY ,CME,Forex
6N=F,New Zealand Dollar,CME,Forex
NKD=F,Nikkei/USD ,CME,Forex
NIY=F,Nikkei/Yen ,CME,Forex
NOK=F,Norwegian Krone,CME,Forex
6R=F,Russian Ruble ,CME,Forex
6Z=F,South African Rand,CME,Forex
SEK=F,Swedish Krona ,CME,Forex
6S=F,Swiss Franc ,CME,Forex
SJY=F,Swiss Franc/Japanese Yen ,CME,Forex
TPY=F,Yen Denominated TOPIX,CME,Stock Indicies
YMT=F,BTIC E-mini DJIA,CBT,Stock Indicies
NQT=F,BTIC E-mini Nasdaq-100,CME,Stock Indicies
EST=F,BTIC E-mini S&P 500 ,CME,Stock Indicies
XAF=F,E-mini Financial Select Sector,CME,Stock Indicies
RS1=F,E-mini Russell 1000 Index ,CME,Stock Indicies
RTY=F,E-mini Russell 2000 Index ,CME,Stock Indicies
ESG=F,E-mini S&P 500 ESG Index ,CME,Stock Indicies
EMT=F,E-mini S&P MidCap 400 BTIC,CME,Stock Indicies
EMD=F,E-mini S&P MidCap 400 Index ,CME,Stock Indicies
MNQ=F,Micro E-mini Nasdaq-100 Index,CME,Stock Indicies
MES=F,MICRO E-MINI S&P 500 INDEX,CME,Stock Indicies
FNG=F,Micro FANG+ Index - ICU,NYB,Stock Indicies
MMW=F,MSCI ACWI NTR Index,NYB,Stock Indicies
CHH=F,MSCI China NTR  - ICUS,NYB,Stock Indicies
MFS=F,MSCI EAFE Index  - ICUS,NYB,Stock Indicies
