date,Open,High,Low,Close,Adj Close,Volume
2021-07-03,33854.421875,34909.26171875,33402.6953125,34668.546875,34668.546875,24383958643
2021-07-04,34665.56640625,35937.56640625,34396.4765625,35287.78125,35287.78125,24924307911
2021-07-05,35284.34375,35284.34375,33213.66015625,33746.00390625,33746.00390625,26721554282
2021-07-06,33723.5078125,35038.53515625,33599.91796875,34235.1953125,34235.1953125,26501259870
2021-07-07,34225.6796875,34997.6640625,33839.2890625,33855.328125,33855.328125,24796027477
2021-07-08,33889.60546875,33907.90625,32133.18359375,32877.37109375,32877.37109375,29910396946
2021-07-09,32861.671875,34042.29296875,32318.880859375,33798.01171875,33798.01171875,27436021028
2021-07-10,33811.2421875,34209.0703125,33116.01171875,33520.51953125,33520.51953125,22971873468
2021-07-11,33509.078125,34584.703125,33346.73828125,34240.1875,34240.1875,20108729370
2021-07-12,34254.015625,34592.15625,32697.30859375,33155.84765625,33155.84765625,24321499537
2021-07-13,33125.46875,33327.1015625,32261.419921875,32702.025390625,32702.025390625,19120856669
2021-07-14,32723.845703125,33061.3984375,31639.125,32822.34765625,32822.34765625,21376531210
2021-07-15,32827.875,33159.640625,31175.708984375,31780.73046875,31780.73046875,21300524237
2021-07-16,31841.55078125,32218.40625,31100.673828125,31421.5390625,31421.5390625,23699476918
2021-07-17,31397.30859375,31935.9453125,31223.990234375,31533.068359375,31533.068359375,18895018942
2021-07-18,31533.884765625,32398.99609375,31215.4921875,31796.810546875,31796.810546875,18787986667
2021-07-19,31800.01171875,31885.859375,30563.734375,30817.83203125,30817.83203125,20434789545
2021-07-20,30838.28515625,31006.1875,29360.955078125,29807.34765625,29807.34765625,23148267245
2021-07-21,29796.28515625,32752.326171875,29526.18359375,32110.693359375,32110.693359375,28203024559
2021-07-22,32138.873046875,32576.400390625,31745.298828125,32313.10546875,32313.10546875,19555230518
2021-07-23,32305.958984375,33581.55078125,32057.892578125,33581.55078125,33581.55078125,22552046192
2021-07-24,33593.73046875,34490.390625,33424.859375,34292.4453125,34292.4453125,21664706865
2021-07-25,34290.29296875,35364.92578125,33881.8359375,35350.1875,35350.1875,20856685287
2021-07-26,35384.03125,40499.67578125,35287.3125,37337.53515625,37337.53515625,51022126212
2021-07-27,37276.03515625,39406.94140625,36441.7265625,39406.94140625,39406.94140625,35097370560
2021-07-28,39503.1875,40816.0703125,38862.4375,39995.90625,39995.90625,38702404695
2021-07-29,39995.453125,40593.0703125,39352.05859375,40008.421875,40008.421875,27167146027
2021-07-30,40027.484375,42235.546875,38397.35546875,42235.546875,42235.546875,33072782960
2021-07-31,42196.3046875,42231.44921875,41110.83203125,41626.1953125,41626.1953125,25802845343
2021-08-01,41460.84375,42541.6796875,39540.94140625,39974.89453125,39974.89453125,26688438115
2021-08-02,39907.26171875,40419.1796875,38746.34765625,39201.9453125,39201.9453125,25595265436
2021-08-03,39178.40234375,39750.03125,37782.05078125,38152.98046875,38152.98046875,26189830450
2021-08-04,38213.33203125,39952.296875,37589.1640625,39747.50390625,39747.50390625,25372562724
2021-08-05,39744.515625,41341.93359375,37458.00390625,40869.5546875,40869.5546875,35185031017
2021-08-06,40865.8671875,43271.66015625,39932.1796875,42816.5,42816.5,38226483046
2021-08-07,42832.796875,44689.859375,42618.56640625,44555.80078125,44555.80078125,40030862141
