date,Volume,vw,Open,Adj Close,High,Low,Transactions,Close
2019-06-17 04:00:00,19383897.0,10.0313,9.99,10.05,10.09,9.94,40353,10.05
2019-06-18 04:00:00,32592679.0,10.1172,10.08,10.1,10.2,10.0476,53392,10.1
2019-06-19 04:00:00,29054457.0,10.0875,10.15,10.04,10.18,10.03,48375,10.04
2019-06-20 04:00:00,32086607.0,10.0238,10.13,10.04,10.15,9.95,51093,10.04
2019-06-21 04:00:00,47904751.0,9.9818,10.03,9.99,10.05,9.91,58288,9.99
2019-06-24 04:00:00,28093530.0,9.9684,9.95,9.95,10.02,9.93,51632,9.95
2019-06-25 04:00:00,28682319.0,9.8862,9.97,9.84,9.99,9.83,55885,9.84
2019-06-26 04:00:00,33739250.0,9.8966,9.87,9.91,9.959,9.82,57634,9.91
2019-06-27 04:00:00,42956294.0,10.1671,10.04,10.2,10.24,10.0,72954,10.2
2019-06-28 04:00:00,37555395.0,10.2478,10.2,10.23,10.31,10.2,57237,10.23
2019-07-01 04:00:00,38537213.0,10.2006,10.34,10.15,10.43,10.07,64324,10.15
2019-07-02 04:00:00,29715682.0,10.1151,10.15,10.12,10.21,10.04,56295,10.12
2019-07-03 04:00:00,19326926.0,10.2366,10.18,10.2,10.3,10.13,39907,10.2
2019-07-05 04:00:00,21398917.0,10.2042,10.18,10.2,10.27,10.09,39622,10.2
2019-07-08 04:00:00,23244545.0,10.2117,10.2,10.2,10.26,10.18,45827,10.2
2019-07-09 04:00:00,25140716.0,10.1427,10.17,10.14,10.19,10.1,43119,10.14
2019-07-10 04:00:00,29082322.0,10.1702,10.19,10.11,10.26,10.11,52980,10.11
2019-07-11 04:00:00,27667568.0,10.1558,10.15,10.19,10.2,10.11,44715,10.19
2019-07-12 04:00:00,40763398.0,10.4335,10.24,10.49,10.5,10.24,69802,10.49
2019-07-15 04:00:00,33754143.0,10.411,10.49,10.42,10.56,10.34,56822,10.42
2019-07-16 04:00:00,29532693.0,10.4525,10.37,10.51,10.51,10.285,56015,10.51
2019-07-17 04:00:00,25205389.0,10.367,10.48,10.33,10.5,10.31,44880,10.33
2019-07-18 04:00:00,25829077.0,10.2525,10.3,10.26,10.31,10.18,43550,10.26
2019-07-19 04:00:00,38506441.0,10.2536,10.3,10.2,10.32,10.2,56176,10.2
2019-07-22 04:00:00,36238749.0,10.0647,10.13,10.02,10.17,10.0,61659,10.02
2019-07-23 04:00:00,74625079.0,10.1131,10.13,10.17,10.22,10.06,56167,10.17
2019-07-24 04:00:00,61107731.0,10.2186,10.1799,10.33,10.35,10.14,88033,10.33
2019-07-25 04:00:00,133898673.0,9.5896,9.75,9.56,9.78,9.4,189801,9.56
2019-07-26 04:00:00,47710767.0,9.5856,9.58,9.57,9.65,9.51,100966,9.57
2019-07-29 04:00:00,36487807.0,9.6181,9.6,9.6,9.68,9.52,84612,9.6
2019-07-30 04:00:00,36953920.0,9.5231,9.56,9.55,9.58,9.48,74723,9.55
2019-07-31 04:00:00,56715713.0,9.5255,9.57,9.53,9.58,9.4,83254,9.53
2019-08-01 04:00:00,58060944.0,9.4176,9.53,9.31,9.59,9.28,115818,9.31
2019-08-02 04:00:00,41495281.0,9.2831,9.26,9.28,9.34,9.21,83207,9.28
2019-08-05 04:00:00,47964505.0,9.1866,9.18,9.23,9.27,9.06,96433,9.23
2019-08-06 04:00:00,51856801.0,9.4476,9.42,9.48,9.51,9.36,102316,9.48
2019-08-07 04:00:00,43043112.0,9.4815,9.43,9.53,9.56,9.3201,85050,9.53
2019-08-08 04:00:00,25469354.0,9.5571,9.56,9.56,9.62,9.505,53011,9.56
2019-08-09 04:00:00,38739867.0,9.4885,9.54,9.45,9.58,9.39,63417,9.45
2019-08-12 04:00:00,22538029.0,9.3436,9.39,9.29,9.43,9.28,55197,9.29
2019-08-13 04:00:00,28319264.0,9.3097,9.29,9.26,9.42,9.18,59324,9.26
2019-08-14 04:00:00,45967495.0,9.0248,9.13,9.0,9.15,8.96,96184,9.0
2019-08-15 04:00:00,41091195.0,8.8784,9.06,8.86,9.06,8.78,93441,8.86
2019-08-16 04:00:00,28404947.0,8.9356,8.92,8.96,9.0,8.81,55050,8.96
2019-08-19 04:00:00,22189447.0,9.0557,9.05,9.03,9.1,9.02,47357,9.03
2019-08-20 04:00:00,25385133.0,8.994,9.0,8.96,9.07,8.93,50397,8.96
2019-08-21 04:00:00,20704104.0,9.025,9.02,9.04,9.05,8.97,43680,9.04
2019-08-22 04:00:00,21199912.0,9.0674,9.05,9.04,9.14,9.02,41951,9.04
2019-08-23 04:00:00,45302229.0,8.8217,8.9,8.77,8.99,8.73,81120,8.77
2019-08-26 04:00:00,32219703.0,8.8314,8.88,8.82,8.907,8.79,49143,8.82
2019-08-27 04:00:00,23262341.0,8.8049,8.89,8.76,8.91,8.75,51083,8.76
2019-08-28 04:00:00,35378804.0,8.9565,8.72,9.0,9.04,8.7,62398,9.0
2019-08-29 04:00:00,22638783.0,9.1002,9.1,9.12,9.14,9.03,49667,9.12
2019-08-30 04:00:00,32324985.0,9.1604,9.16,9.17,9.23,9.1,54742,9.17
2019-09-03 04:00:00,27369278.0,9.1088,9.18,9.1,9.2,9.04,56932,9.1
2019-09-04 04:00:00,27621957.0,9.1892,9.17,9.2,9.23,9.07,59941,9.2
2019-09-05 04:00:00,37100760.0,9.3466,9.25,9.34,9.4,9.25,63127,9.34
2019-09-06 04:00:00,29472443.0,9.3377,9.37,9.34,9.41,9.2,63865,9.34
2019-09-09 04:00:00,48400520.0,9.557,9.39,9.54,9.65,9.39,75973,9.54
2019-09-10 04:00:00,71332554.0,9.2443,9.08,9.42,9.42,9.04,123117,9.42
2019-09-11 04:00:00,34684083.0,9.3747,9.29,9.42,9.43,9.29,62841,9.42
2019-09-12 04:00:00,36092467.0,9.4177,9.36,9.41,9.48,9.32,61212,9.41
2019-09-13 04:00:00,27496558.0,9.4935,9.47,9.45,9.59,9.44,55129,9.45
2019-09-16 04:00:00,50419803.0,9.3273,9.36,9.3,9.45,9.24,71151,9.3
2019-09-17 04:00:00,27852932.0,9.2655,9.27,9.28,9.31,9.18,54846,9.28
2019-09-18 04:00:00,24829436.0,9.2645,9.26,9.25,9.36,9.22,52407,9.25
2019-09-19 04:00:00,29561370.0,9.1894,9.31,9.1,9.3299,9.1,47011,9.1
2019-09-20 04:00:00,41649430.0,9.1944,9.13,9.17,9.3,9.11,58648,9.17
2019-09-23 04:00:00,23884357.0,9.1777,9.13,9.16,9.23,9.08,41252,9.16
2019-09-24 04:00:00,33588997.0,9.1277,9.19,9.11,9.225,9.05,60541,9.11
2019-09-25 04:00:00,20984934.0,9.1802,9.1,9.2,9.23,9.09,40865,9.2
2019-09-26 04:00:00,26797614.0,9.1231,9.23,9.14,9.23,9.07,51142,9.14
2019-09-27 04:00:00,32695721.0,9.1303,9.14,9.08,9.6,9.06,56082,9.08
2019-09-30 04:00:00,22781033.0,9.1597,9.11,9.16,9.21,9.1,43875,9.16
2019-10-01 04:00:00,39986408.0,9.007,9.19,8.9,9.24,8.87,73364,8.9
2019-10-02 04:00:00,68843081.0,8.5799,8.85,8.61,8.86,8.44,118978,8.61
2019-10-03 04:00:00,41818115.0,8.6028,8.55,8.71,8.71,8.45,74726,8.71
2019-10-04 04:00:00,28526859.0,8.7181,8.72,8.74,8.76,8.66,58067,8.74
2019-10-07 04:00:00,29857508.0,8.6935,8.7,8.68,8.79,8.61,49914,8.68
2019-10-08 04:00:00,31983662.0,8.5671,8.65,8.54,8.66,8.5,56604,8.54
2019-10-09 04:00:00,17276887.0,8.5861,8.61,8.56,8.64,8.56,37529,8.56
2019-10-10 04:00:00,28688336.0,8.6165,8.58,8.62,8.65,8.52,45022,8.62
