model,field_name,type,unit,shape,index_format,nullable,owner_layer,compute_responsibility
AlertItem,rule_id,<class 'str'>,,scalar,,false,backend,server
AlertItem,severity,"typing.Literal['info', 'warning', 'critical']",,scalar,,false,backend,server
AlertItem,triggered_at,<class 'str'>,,scalar,,false,backend,server
AlertItem,message,<class 'str'>,,scalar,,false,backend,server
AlertItem,value,<class 'float'>,,scalar,,false,backend,server
AlertsResponse,run_id,<class 'str'>,,scalar,,false,backend,server
AlertsResponse,model_name,"typing.Literal['xgb_lstm', 'lgbm_ranker']",,scalar,,false,backend,server
AlertsResponse,status,"typing.Literal['ok', 'insufficient_data', 'not_found']",,scalar,,true,backend,server
AlertsResponse,message,str | None,,scalar,,true,backend,server
AlertsResponse,alerts,list[openbb_quant_ml.models.AlertItem],,scalar,,true,backend,server
ArtifactCompletenessItem,artifact,<class 'str'>,,scalar,,false,backend,server
ArtifactCompletenessItem,ready,<class 'bool'>,,scalar,,true,backend,server
ArtifactCompletenessItem,path,str | None,,scalar,,true,backend,server
ArtifactSummaryResponse,run_id,<class 'str'>,,scalar,,false,backend,server
ArtifactSummaryResponse,model_name,"typing.Literal['xgb_lstm', 'lgbm_ranker']",,scalar,,true,backend,server
ArtifactSummaryResponse,model_meta,<class 'dict'>,,scalar,,false,backend,server
ArtifactSummaryResponse,latest_validation_error,float | None,,scalar,,true,backend,server
ArtifactSummaryResponse,feature_importance,list[dict],,scalar,,false,backend,server
ArtifactSummaryResponse,params,<class 'dict'>,,scalar,,false,backend,server
ArtifactSummaryResponse,available_artifacts,list[str],,scalar,,false,backend,server
AssetClassWeightItem,category,<class 'str'>,,scalar,,false,backend,server
AssetClassWeightItem,weight,<class 'float'>,,scalar,,false,backend,server
BacktestConstraints,max_weight,<class 'float'>,,scalar,,true,backend,server
BacktestConstraints,long_only,<class 'bool'>,,scalar,,true,backend,server
BacktestConstraints,risk_aversion,<class 'float'>,,scalar,,true,backend,server
BacktestConstraints,lookback_days,<class 'int'>,,scalar,,true,backend,server
BacktestMetrics,cagr,<class 'float'>,,scalar,,false,backend,server
