interface,field_name,type,unit,shape,index_format,nullable,owner_layer,compute_responsibility
UniverseAsset,symbol,string,,scalar,,false,frontend,client_render_only
UniverseAsset,category,string,,scalar,,false,frontend,client_render_only
UniverseResponse,version,string,,scalar,,false,frontend,client_render_only
UniverseResponse,assets,UniverseAsset[],,scalar,,false,frontend,client_render_only
UniverseListItemPayload,id,string,,scalar,,false,frontend,client_render_only
UniverseListItemPayload,has_file,boolean,,scalar,,false,frontend,client_render_only
UniverseListItemPayload,path,string | null,,scalar,,true,frontend,client_render_only
UniverseListItemPayload,count_hint,number,,scalar,,false,frontend,client_render_only
UniverseListItemPayload,minimum_required,number,,scalar,,true,frontend,client_render_only
UniverseListPayload,universes,UniverseListItemPayload[],,scalar,,false,frontend,client_render_only
UniverseResolvePayload,universe_id,string,,scalar,,false,frontend,client_render_only
UniverseResolvePayload,mode,string,,scalar,,false,frontend,client_render_only
UniverseResolvePayload,count,number,,scalar,,false,frontend,client_render_only
UniverseResolvePayload,minimum_required,number,,scalar,,true,frontend,client_render_only
UniverseResolvePayload,meets_minimum,boolean,,scalar,,true,frontend,client_render_only
UniverseResolvePayload,symbols,string[] | null,,scalar,,true,frontend,client_render_only
UniverseResolvePayload,deprecated,boolean,,scalar,,true,frontend,client_render_only
UniverseResolvePayload,replacement_id,string | null,,scalar,,true,frontend,client_render_only
UniverseResolvePayload,sunset_date,string | null,,scalar,,true,frontend,client_render_only
DateRangeInput,start,string,,scalar,,false,frontend,client_render_only
DateRangeInput,end,string,,scalar,,false,frontend,client_render_only
ModelConfigInput,seq_len,number,,scalar,,false,frontend,client_render_only
ModelConfigInput,xgb_n_estimators,number,,scalar,,false,frontend,client_render_only
ModelConfigInput,xgb_max_depth,number,,scalar,,false,frontend,client_render_only
ModelConfigInput,xgb_learning_rate,number,,scalar,,false,frontend,client_render_only
ModelConfigInput,xgb_subsample,number,,scalar,,false,frontend,client_render_only
ModelConfigInput,xgb_colsample_bytree,number,,scalar,,false,frontend,client_render_only
ModelConfigInput,lstm_hidden_size,number,,scalar,,false,frontend,client_render_only
ModelConfigInput,lstm_num_layers,number,,scalar,,false,frontend,client_render_only
ModelConfigInput,lstm_dropout,number,,scalar,,false,frontend,client_render_only
ModelConfigInput,lstm_epochs,number,,scalar,,false,frontend,client_render_only
ModelConfigInput,lstm_batch_size,number,,scalar,,false,frontend,client_render_only
ModelConfigInput,lstm_learning_rate,number,,scalar,,false,frontend,client_render_only
ModelConfigInput,train_val_split,number,,scalar,,false,frontend,client_render_only
RankerConfigInput,objective,"""rank_xendcg""",,scalar,,false,frontend,client_render_only
RankerConfigInput,metric,"""ndcg""",,scalar,,false,frontend,client_render_only
RankerConfigInput,ndcg_eval_at,number[],,scalar,,false,frontend,client_render_only
RankerConfigInput,learning_rate,number,,scalar,,false,frontend,client_render_only
RankerConfigInput,n_estimators,number,,scalar,,false,frontend,client_render_only
RankerConfigInput,num_leaves,number,,scalar,,false,frontend,client_render_only
RankerConfigInput,min_data_in_leaf,number,,scalar,,false,frontend,client_render_only
RankerConfigInput,subsample,number,,scalar,,false,frontend,client_render_only
RankerConfigInput,colsample_bytree,number,,scalar,,false,frontend,client_render_only
RankerConfigInput,reg_lambda,number,,scalar,,false,frontend,client_render_only
RankerConfigInput,random_state,number,,scalar,,false,frontend,client_render_only
RankerConfigInput,early_stopping_rounds,number,,scalar,,false,frontend,client_render_only
WalkForwardConfigInput,train_months,number,,scalar,,false,frontend,client_render_only
WalkForwardConfigInput,embargo_months,number,,scalar,,false,frontend,client_render_only
WalkForwardConfigInput,val_months,number,,scalar,,false,frontend,client_render_only
WalkForwardConfigInput,step_months,number,,scalar,,false,frontend,client_render_only
SignalConfigInput,theta_grid,number[],,scalar,,false,frontend,client_render_only
SignalConfigInput,selection_metric,"""val_sharpe""",,scalar,,false,frontend,client_render_only
FeatureConfigInput,lags,number[],,scalar,,false,frontend,client_render_only
FeatureConfigInput,vol_windows,number[],,scalar,,false,frontend,client_render_only
FeatureConfigInput,momentum_windows,number[],,scalar,,false,frontend,client_render_only
FeatureConfigInput,include_rsi,boolean,,scalar,,false,frontend,client_render_only
FeatureConfigInput,include_macd,boolean,,scalar,,false,frontend,client_render_only
FeatureConfigInput,include_regime_features,boolean,,scalar,,false,frontend,client_render_only
TrainRequestPayload,symbols,string[],,scalar,,true,frontend,client_render_only
TrainRequestPayload,universe_id,string,,scalar,,true,frontend,client_render_only
TrainRequestPayload,date_range,DateRangeInput,,scalar,,false,frontend,client_render_only
TrainRequestPayload,horizon_days,number,,scalar,,false,frontend,client_render_only
TrainRequestPayload,target_mode,TargetMode,,scalar,,true,frontend,client_render_only
TrainRequestPayload,close_to_next_open_horizon_policy,CloseToNextOpenHorizonPolicy,,scalar,,true,frontend,client_render_only
TrainRequestPayload,include_macro_features,boolean,,scalar,,true,frontend,client_render_only
TrainRequestPayload,macro_feature_subset,string[],,scalar,,true,frontend,client_render_only
TrainRequestPayload,model_config,ModelConfigInput,,scalar,,false,frontend,client_render_only
TrainRequestPayload,feature_config,FeatureConfigInput,,scalar,,false,frontend,client_render_only
TrainRequestPayload,training_mode,"""single"" | ""dual_compare""",,scalar,,true,frontend,client_render_only
TrainRequestPayload,model_set,ModelName[],,scalar,,true,frontend,client_render_only
TrainRequestPayload,walk_forward_config,WalkForwardConfigInput,,scalar,,true,frontend,client_render_only
TrainRequestPayload,ranker_config,RankerConfigInput,,scalar,,true,frontend,client_render_only
TrainRequestPayload,signal_config,SignalConfigInput,,scalar,,true,frontend,client_render_only
TrainRequestPayload,portfolio_mode,PortfolioMode,,scalar,,true,frontend,client_render_only
TrainRequestPayload,mu_mapping,MuMapping,,scalar,,true,frontend,client_render_only
TrainRequestPayload,quick_mode,boolean,,scalar,,true,frontend,client_render_only
TrainRequestPayload,model_choice,ModelChoice,,scalar,,true,frontend,client_render_only
TrainRequestPayload,early_stopping,boolean,,scalar,,true,frontend,client_render_only
TrainRequestPayload,feature_pruning,boolean,,scalar,,true,frontend,client_render_only
TrainRequestPayload,walk_forward_compact,boolean,,scalar,,true,frontend,client_render_only
TrainRequestPayload,cross_sectional_sampling,boolean,,scalar,,true,frontend,client_render_only
TrainRequestPayload,top_liquid_n,number,,scalar,,true,frontend,client_render_only
TrainResponsePayload,run_id,string,,scalar,,false,frontend,client_render_only
TrainResponsePayload,status,TrainRunStatus,,scalar,,false,frontend,client_render_only
TrainResponsePayload,artifact_root,string,,scalar,,false,frontend,client_render_only
TrainResponsePayload,created_at,string,,scalar,,false,frontend,client_render_only
RunStatusPayload,run_id,string,,scalar,,false,frontend,client_render_only
RunStatusPayload,run_uid,string | null,,scalar,,true,frontend,client_render_only
RunStatusPayload,status,TrainRunStatus,,scalar,,false,frontend,client_render_only
RunStatusPayload,progress,number,,scalar,,false,frontend,client_render_only
RunStatusPayload,stage,string,,scalar,,false,frontend,client_render_only
RunStatusPayload,created_at,string,,scalar,,false,frontend,client_render_only
RunStatusPayload,updated_at,string,,scalar,,false,frontend,client_render_only
RunStatusPayload,last_heartbeat_at,string | null,,scalar,,true,frontend,client_render_only
