,Country,Code
0,Vietnam,VNM
1,Argentina,ARG
2,Australia,AUS
3,Brazil,BRA
4,Britain,GBR
5,Canada,CAN
6,Chile,CHL
7,China,CHN
8,Colombia,COL
9,Costa Rica,CRI
10,Czech Republic,CZE
11,Denmark,DNK
12,Egypt,EGY
13,Euro area,EUR
14,Hong Kong,HKG
15,Hungary,HUN
16,India,IND
17,Indonesia,IDN
18,Israel,ISR
19,Japan,JPN
20,Lithuania,LTU
21,Malaysia,MYS
22,Mexico,MEX
23,New Zealand,NZL
24,Norway,NOR
25,Pakistan,PAK
26,Peru,PER
27,Philippines,PHL
28,Poland,POL
29,Russia,RUS
30,Saudi Arabia,SAU
31,Singapore,SIN
32,South Africa,ZAF
33,South Korea,KOR
34,Sri Lanka,LKA
35,Sweden,SWE
36,Switzerland,CHE
37,Taiwan,ROC
38,Thailand,THA
39,Turkey,TUR
40,UAE,UAE
41,Ukraine,UKR
42,United States,USA
43,Uruguay,URY
44,Venezuela,VEN
45,Austria,AUT
46,Belgium,BEL
47,Estonia,EST
48,Finland,FIN
49,France,FRA
50,Germany,DEU
51,Greece,GRC
52,Ireland,IRL
53,Italy,ITA
54,Netherlands,NLD
55,Portugal,PRT
56,Spain,ESP
57,Latvia,LVA
