import time: self [us] | cumulative | imported package
import time:       200 |        200 |   _io
import time:        29 |         29 |   marshal
import time:       227 |        227 |   posix
import time:       284 |        739 | _frozen_importlib_external
import time:        70 |         70 |   time
import time:        97 |        166 | zipimport
import time:        45 |         45 |     _codecs
import time:       285 |        329 |   codecs
import time:       469 |        469 |   encodings.aliases
import time:       490 |       1288 | encodings
import time:       226 |        226 | encodings.utf_8
import time:        82 |         82 | _signal
import time:        52 |         52 |     _abc
import time:       190 |        241 |   abc
import time:       249 |        490 | io
import time:        78 |         78 |       _stat
import time:       138 |        216 |     stat
import time:      1580 |       1580 |     _collections_abc
import time:        91 |         91 |       genericpath
import time:       110 |        201 |     posixpath
import time:       506 |       2500 |   os
import time:        87 |         87 |   _sitebuiltins
import time:       709 |        709 |   _distutils_hack
import time:        90 |         90 |     apport_python_hook
import time:       134 |        223 |   sitecustomize
import time:      1779 |       5296 | site
import time:       186 |        186 |           types
import time:        70 |         70 |             _operator
import time:       262 |        331 |           operator
import time:       101 |        101 |               itertools
import time:       117 |        117 |               keyword
import time:       129 |        129 |               reprlib
import time:        54 |         54 |               _collections
import time:       751 |       1149 |             collections
import time:        53 |         53 |             _functools
import time:       421 |       1621 |           functools
import time:      1060 |       3197 |         enum
import time:        56 |         56 |           _sre
import time:       270 |        270 |             re._constants
import time:       303 |        573 |           re._parser
import time:        79 |         79 |           re._casefix
import time:       297 |       1004 |         re._compiler
import time:       127 |        127 |         copyreg
import time:       387 |       4712 |       re
import time:       109 |       4820 |     fnmatch
import time:       317 |        317 |     warnings
import time:        68 |         68 |     errno
import time:       119 |        119 |       urllib
import time:        96 |         96 |       math
import time:       935 |        935 |       ipaddress
import time:      1051 |       2200 |     urllib.parse
import time:        70 |         70 |       _winapi
import time:        61 |         61 |       nt
import time:        36 |         36 |       nt
import time:        33 |         33 |       nt
import time:        30 |         30 |       nt
import time:        40 |         40 |       nt
import time:        47 |         47 |       nt
import time:       146 |        460 |     ntpath
import time:      1629 |       9492 |   pathlib
import time:       213 |        213 |     collections.abc
import time:       415 |        415 |     contextlib
import time:        36 |         36 |     _typing
import time:      1907 |       2570 |   typing
import time:       113 |        113 |         openbb_core
import time:       119 |        231 |       openbb_core.app
import time:      1825 |       2055 |     openbb_core.app.static
import time:       146 |        146 |           _weakrefset
import time:       332 |        477 |         weakref
import time:       176 |        652 |       copy
import time:       831 |        831 |             _ast
import time:       877 |       1707 |           ast
import time:        42 |         42 |               _opcode
import time:       322 |        363 |             opcode
import time:       662 |       1025 |           dis
import time:       130 |        130 |             importlib
import time:        48 |        177 |           importlib.machinery
import time:       112 |        112 |               token
import time:        33 |         33 |               _tokenize
import time:       660 |        805 |             tokenize
import time:       130 |        934 |           linecache
import time:      1690 |       5532 |         inspect
import time:       503 |       6034 |       dataclasses
import time:        96 |         96 |         _datetime
import time:       144 |        239 |       datetime
import time:        82 |         82 |           starlette
import time:       167 |        167 |             __future__
import time:       182 |        349 |           starlette.status
import time:        91 |         91 |               annotated_doc.main
import time:       124 |        214 |             annotated_doc
import time:        88 |         88 |                 email
import time:       141 |        141 |                 binascii
import time:       118 |        118 |                 quopri
import time:        33 |         33 |                       _bisect
import time:       110 |        143 |                     bisect
import time:        36 |         36 |                     _random
import time:        34 |         34 |                     _sha2
import time:       269 |        480 |                   random
import time:       192 |        192 |                     _socket
import time:        51 |         51 |                       select
import time:       417 |        467 |                     selectors
import time:       117 |        117 |                     array
import time:      1072 |       1846 |                   socket
import time:        59 |         59 |                         _locale
import time:       595 |        654 |                       locale
import time:       592 |       1246 |                     calendar
import time:       208 |       1454 |                   email._parseaddr
import time:        57 |         57 |                           _struct
import time:       106 |        163 |                         struct
import time:       171 |        333 |                       base64
import time:        98 |        430 |                     email.base64mime
import time:        25 |         25 |                         _string
import time:       377 |        402 |                       string
import time:       166 |        567 |                     email.quoprimime
import time:       326 |        326 |                     email.errors
import time:        88 |         88 |                     email.encoders
import time:       885 |       2294 |                   email.charset
import time:       348 |       6420 |                 email.utils
import time:       453 |        453 |                   email.header
import time:       246 |        698 |                 email._policybase
import time:       187 |        187 |                 email._encoded_words
import time:        87 |         87 |                 email.iterators
import time:       515 |       8250 |               email.message
import time:       160 |        160 |                     _json
import time:       232 |        391 |                   json.scanner
import time:       482 |        872 |                 json.decoder
import time:       381 |        381 |                 json.encoder
import time:       204 |       1457 |               json
import time:      1676 |       1676 |                             typing_extensions
import time:       730 |        730 |                             pydantic_core._pydantic_core
import time:       301 |        301 |                                   numbers
import time:       612 |        913 |                                 _decimal
import time:       146 |       1059 |                               decimal
import time:        97 |         97 |                                       concurrent
import time:       677 |        677 |                                             textwrap
import time:       446 |       1123 |                                           traceback
import time:       479 |        479 |                                           threading
import time:        46 |         46 |                                           atexit
import time:      1288 |       2935 |                                         logging
import time:       454 |       3388 |                                       concurrent.futures._base
import time:       172 |       3656 |                                     concurrent.futures
import time:        64 |         64 |                                       _heapq
import time:       156 |        220 |                                     heapq
import time:       967 |        967 |                                       signal
import time:        57 |         57 |                                       fcntl
import time:        67 |         67 |                                       msvcrt
import time:        25 |         25 |                                       _posixsubprocess
import time:       500 |       1615 |                                     subprocess
import time:      1263 |       1263 |                                       _ssl
import time:      2372 |       3635 |                                     ssl
import time:       197 |        197 |                                     asyncio.constants
import time:       114 |        114 |                                     asyncio.coroutines
import time:       122 |        122 |                                         _contextvars
import time:       100 |        221 |                                       contextvars
import time:        98 |         98 |                                       asyncio.format_helpers
import time:       176 |        176 |                                         asyncio.base_futures
import time:       148 |        148 |                                         asyncio.exceptions
import time:        87 |         87 |                                         asyncio.base_tasks
import time:       268 |        678 |                                       _asyncio
import time:       382 |       1377 |                                     asyncio.events
import time:       208 |        208 |                                     asyncio.futures
import time:       124 |        124 |                                     asyncio.protocols
import time:       248 |        248 |                                       asyncio.transports
import time:        80 |         80 |                                       asyncio.log
import time:       529 |        856 |                                     asyncio.sslproto
import time:        71 |         71 |                                         asyncio.mixins
import time:       428 |        499 |                                       asyncio.locks
import time:       306 |        306 |                                         asyncio.timeouts
import time:       627 |        932 |                                       asyncio.tasks
import time:       244 |       1674 |                                     asyncio.staggered
import time:       119 |        119 |                                     asyncio.trsock
import time:      1156 |      14944 |                                   asyncio.base_events
import time:       298 |        298 |                                   asyncio.runners
import time:       257 |        257 |                                   asyncio.queues
import time:       357 |        357 |                                   asyncio.streams
import time:       244 |        244 |                                   asyncio.subprocess
import time:       210 |        210 |                                   asyncio.taskgroups
import time:       150 |        150 |                                   asyncio.threads
import time:       203 |        203 |                                     asyncio.base_subprocess
import time:       419 |        419 |                                     asyncio.selector_events
import time:       788 |       1409 |                                   asyncio.unix_events
import time:       390 |      18255 |                                 asyncio
import time:        34 |      18288 |                               asyncio.coroutines
import time:      6640 |      25985 |                             pydantic_core.core_schema
import time:       490 |      28879 |                           pydantic_core
import time:       104 |      28983 |                         pydantic.version
import time:       241 |      29224 |                       pydantic.warnings
import time:       313 |      29536 |                     pydantic._migration
import time:        97 |         97 |                         typing_inspection
import time:       962 |        962 |                         typing_inspection.typing_objects
import time:       761 |       1820 |                       typing_inspection.introspection
import time:       111 |        111 |                       pydantic._internal
import time:       275 |        275 |                           pydantic._internal._namespace_utils
import time:       343 |        617 |                         pydantic._internal._typing_extra
import time:       214 |        831 |                       pydantic._internal._repr
import time:       346 |       3105 |                     pydantic.errors
import time:       227 |      32867 |                   pydantic
import time:       170 |        170 |                       pydantic._internal._internal_dataclass
import time:       845 |       1015 |                     pydantic.aliases
import time:       721 |        721 |                     pydantic.config
import time:       260 |       1994 |                   pydantic._internal._config
import time:       206 |        206 |                     pydantic._internal._core_utils
import time:       120 |        120 |                       pydantic._internal._import_utils
import time:       825 |        945 |                     pydantic._internal._utils
import time:      2618 |       3767 |                   pydantic._internal._decorators
import time:       367 |        367 |                       pydantic._internal._forward_ref
import time:       336 |        702 |                     pydantic._internal._generics
import time:       117 |        117 |                     pydantic._internal._docs_extraction
import time:       379 |       1198 |                   pydantic._internal._fields
import time:       349 |        349 |                       pydantic.plugin
import time:       232 |        580 |                     pydantic.plugin._schema_validator
import time:       249 |        829 |                   pydantic._internal._mock_val_ser
import time:      1932 |       1932 |                       fractions
import time:        65 |         65 |                           _wmi
import time:       412 |        477 |                         platform
import time:        64 |         64 |                         _uuid
import time:       408 |        947 |                       uuid
import time:       301 |        301 |                           sysconfig
import time:       557 |        557 |                           _sysconfigdata__x86_64-linux-gnu
import time:       391 |       1248 |                         zoneinfo._tzpath
import time:       142 |        142 |                         zoneinfo._common
import time:       181 |        181 |                         _zoneinfo
import time:       171 |       1741 |                       zoneinfo
import time:       391 |        391 |                       pydantic.annotated_handlers
import time:      2758 |       2758 |                       pydantic.functional_validators
import time:       305 |        305 |                         pydantic._internal._core_metadata
import time:       138 |        138 |                         pydantic._internal._schema_generation_shared
import time:      1745 |       2187 |                       pydantic.json_schema
import time:       225 |        225 |                       pydantic._internal._discriminated_union
import time:       223 |        223 |                       pydantic._internal._known_annotated_metadata
import time:       581 |        581 |                       pydantic._internal._schema_gather
import time:      1142 |      12123 |                     pydantic._internal._generate_schema
import time:       132 |        132 |                     pydantic._internal._signature
import time:      1034 |      13288 |                   pydantic._internal._model_construction
import time:       542 |        542 |                     http
import time:       166 |        708 |                   starlette.exceptions
import time:      5938 |       5938 |                     annotated_types
import time:       212 |        212 |                     pydantic._internal._validators
import time:      4436 |       4436 |                     pydantic.types
import time:      1644 |      12229 |                   pydantic.fields
import time:        51 |         51 |                         _csv
import time:       268 |        318 |                       csv
import time:       118 |        118 |                           importlib._abc
