symbol,name,market,sector_l1,category_l2,data_asof,source
000250.KQ,삼천당제약,KOSDAQ,제약,biotech_pharma,2026-02-19,pykrx
003380.KQ,하림지주,KOSDAQ,금융,financial,2026-02-19,pykrx
005290.KQ,동진쎄미켐,KOSDAQ,화학,chemical,2026-02-19,pykrx
007390.KQ,네이처셀,KOSDAQ,제약,biotech_pharma,2026-02-19,pykrx
028300.KQ,HLB,KOSDAQ,제약,biotech_pharma,2026-02-19,pykrx
030530.KQ,원익홀딩스,KOSDAQ,화학,chemical,2026-02-19,pykrx
031980.KQ,피에스케이홀딩스,KOSDAQ,기계·장비,machinery,2026-02-19,pykrx
032820.KQ,우리기술,KOSDAQ,전기·전자,semiconductor_electronics,2026-02-19,pykrx
035760.KQ,CJ ENM,KOSDAQ,오락·문화,entertainment,2026-02-19,pykrx
035900.KQ,JYP Ent.,KOSDAQ,오락·문화,entertainment,2026-02-19,pykrx
036540.KQ,SFA반도체,KOSDAQ,전기·전자,semiconductor,2026-02-19,pykrx
036930.KQ,주성엔지니어링,KOSDAQ,기계·장비,machinery,2026-02-19,pykrx
038500.KQ,삼표시멘트,KOSDAQ,비금속,materials,2026-02-19,pykrx
039030.KQ,이오테크닉스,KOSDAQ,기계·장비,machinery,2026-02-19,pykrx
039200.KQ,오스코텍,KOSDAQ,제약,biotech_pharma,2026-02-19,pykrx
041510.KQ,에스엠,KOSDAQ,오락·문화,entertainment,2026-02-19,pykrx
043260.KQ,성호전자,KOSDAQ,전기·전자,semiconductor_electronics,2026-02-19,pykrx
048410.KQ,현대바이오,KOSDAQ,화학,biotech_pharma,2026-02-19,pykrx
056080.KQ,유진로봇,KOSDAQ,기계·장비,machinery,2026-02-19,pykrx
058470.KQ,리노공업,KOSDAQ,전기·전자,semiconductor_electronics,2026-02-19,pykrx
058610.KQ,에스피지,KOSDAQ,전기·전자,semiconductor_electronics,2026-02-19,pykrx
060370.KQ,LS마린솔루션,KOSDAQ,건설,construction,2026-02-19,pykrx
064760.KQ,티씨케이,KOSDAQ,비금속,materials,2026-02-19,pykrx
065350.KQ,신성델타테크,KOSDAQ,전기·전자,semiconductor_electronics,2026-02-19,pykrx
067310.KQ,하나마이크론,KOSDAQ,전기·전자,semiconductor_electronics,2026-02-19,pykrx
068760.KQ,셀트리온제약,KOSDAQ,제약,biotech_pharma,2026-02-19,pykrx
078600.KQ,대주전자재료,KOSDAQ,전기·전자,semiconductor_electronics,2026-02-19,pykrx
080220.KQ,제주반도체,KOSDAQ,전기·전자,semiconductor,2026-02-19,pykrx
082270.KQ,젬백스,KOSDAQ,기계·장비,machinery,2026-02-19,pykrx
083650.KQ,비에이치아이,KOSDAQ,기계·장비,machinery,2026-02-19,pykrx
084370.KQ,유진테크,KOSDAQ,기계·장비,machinery,2026-02-19,pykrx
