symbol,name,market,sector_l1,category_l2,data_asof,source
000080.KS,하이트진로,KOSPI,음식료·담배,food_beverage,2026-02-19,pykrx
000100.KS,유한양행,KOSPI,제약,biotech_pharma,2026-02-19,pykrx
000120.KS,CJ대한통운,KOSPI,운송·창고,other,2026-02-19,pykrx
000150.KS,두산,KOSPI,기타금융,financial,2026-02-19,pykrx
000210.KS,DL,KOSPI,화학,chemical,2026-02-19,pykrx
000240.KS,한국앤컴퍼니,KOSPI,기타금융,financial,2026-02-19,pykrx
000270.KS,기아,KOSPI,운송장비·부품,automobile,2026-02-19,pykrx
000660.KS,SK하이닉스,KOSPI,전기·전자,semiconductor,2026-02-19,pykrx
000670.KS,영풍,KOSPI,금속,materials_metal,2026-02-19,pykrx
000720.KS,현대건설,KOSPI,건설,construction,2026-02-19,pykrx
000810.KS,삼성화재,KOSPI,보험,insurance,2026-02-19,pykrx
000880.KS,한화,KOSPI,화학,chemical,2026-02-19,pykrx
001040.KS,CJ,KOSPI,기타금융,financial,2026-02-19,pykrx
001430.KS,세아베스틸지주,KOSPI,금속,materials_metal,2026-02-19,pykrx
001440.KS,대한전선,KOSPI,전기·전자,semiconductor_electronics,2026-02-19,pykrx
001450.KS,현대해상,KOSPI,보험,insurance,2026-02-19,pykrx
001680.KS,대상,KOSPI,음식료·담배,food_beverage,2026-02-19,pykrx
001800.KS,오리온홀딩스,KOSPI,기타금융,financial,2026-02-19,pykrx
002030.KS,아세아,KOSPI,일반서비스,services,2026-02-19,pykrx
002380.KS,KCC,KOSPI,화학,chemical,2026-02-19,pykrx
002790.KS,아모레퍼시픽홀딩스,KOSPI,화학,chemical,2026-02-19,pykrx
002840.KS,미원상사,KOSPI,화학,chemical,2026-02-19,pykrx
003030.KS,세아제강지주,KOSPI,기타금융,financial,2026-02-19,pykrx
003090.KS,대웅,KOSPI,제약,biotech_pharma,2026-02-19,pykrx
003230.KS,삼양식품,KOSPI,음식료·담배,food_beverage,2026-02-19,pykrx
