symbol,name,market,sector_l1,category_l2,data_asof,source
A,AGILENT TECHNOLOGIES INC,US,Health Care,us_large_mid_equity,2026-02-21,ishares_iwb
AA,ALCOA CORP,US,Materials,us_large_mid_equity,2026-02-21,ishares_iwb
AAL,AMERICAN AIRLINES GROUP INC,US,Industrials,us_large_mid_equity,2026-02-21,ishares_iwb
AAON,AAON INC,US,Industrials,us_large_mid_equity,2026-02-21,ishares_iwb
AAPL,APPLE INC,US,Information Technology,us_large_mid_equity,2026-02-21,ishares_iwb
ABBV,ABBVIE INC,US,Health Care,us_large_mid_equity,2026-02-21,ishares_iwb
ABNB,AIRBNB INC CLASS A,US,Consumer Discretionary,us_large_mid_equity,2026-02-21,ishares_iwb
ABT,ABBOTT LABORATORIES,US,Health Care,us_large_mid_equity,2026-02-21,ishares_iwb
ACGL,ARCH CAPITAL GROUP LTD,US,Financials,us_large_mid_equity,2026-02-21,ishares_iwb
ACHC,ACADIA HEALTHCARE COMPANY INC,US,Health Care,us_large_mid_equity,2026-02-21,ishares_iwb
ACI,ALBERTSONS COMPANY INC CLASS A,US,Consumer Staples,us_large_mid_equity,2026-02-21,ishares_iwb
ACM,AECOM,US,Industrials,us_large_mid_equity,2026-02-21,ishares_iwb
ACN,ACCENTURE PLC CLASS A,US,Information Technology,us_large_mid_equity,2026-02-21,ishares_iwb
ADBE,ADOBE INC,US,Information Technology,us_large_mid_equity,2026-02-21,ishares_iwb
ADC,AGREE REALTY REIT CORP,US,Real Estate,us_large_mid_equity,2026-02-21,ishares_iwb
ADI,ANALOG DEVICES INC,US,Information Technology,us_large_mid_equity,2026-02-21,ishares_iwb
ADM,ARCHER DANIELS MIDLAND,US,Consumer Staples,us_large_mid_equity,2026-02-21,ishares_iwb
ADP,AUTOMATIC DATA PROCESSING INC,US,Industrials,us_large_mid_equity,2026-02-21,ishares_iwb
ADSK,AUTODESK INC,US,Information Technology,us_large_mid_equity,2026-02-21,ishares_iwb
ADT,ADT INC,US,Consumer Discretionary,us_large_mid_equity,2026-02-21,ishares_iwb
AEE,AMEREN CORP,US,Utilities,us_large_mid_equity,2026-02-21,ishares_iwb
AEP,AMERICAN ELECTRIC POWER INC,US,Utilities,us_large_mid_equity,2026-02-21,ishares_iwb
AES,AES CORP,US,Utilities,us_large_mid_equity,2026-02-21,ishares_iwb
AFG,AMERICAN FINANCIAL GROUP INC,US,Financials,us_large_mid_equity,2026-02-21,ishares_iwb
AFL,AFLAC INC,US,Financials,us_large_mid_equity,2026-02-21,ishares_iwb
AFRM,AFFIRM HOLDINGS INC CLASS A,US,Financials,us_large_mid_equity,2026-02-21,ishares_iwb
AGCO,AGCO CORP,US,Industrials,us_large_mid_equity,2026-02-21,ishares_iwb
AGNC,AGNC INVESTMENT REIT CORP,US,Financials,us_large_mid_equity,2026-02-21,ishares_iwb
AGO,ASSURED GUARANTY LTD,US,Financials,us_large_mid_equity,2026-02-21,ishares_iwb
AIG,AMERICAN INTERNATIONAL GROUP INC,US,Financials,us_large_mid_equity,2026-02-21,ishares_iwb
AIT,APPLIED INDUSTRIAL TECHNOLOGIES IN,US,Industrials,us_large_mid_equity,2026-02-21,ishares_iwb
AIZ,ASSURANT INC,US,Financials,us_large_mid_equity,2026-02-21,ishares_iwb
AJG,ARTHUR J GALLAGHER,US,Financials,us_large_mid_equity,2026-02-21,ishares_iwb
AKAM,AKAMAI TECHNOLOGIES INC,US,Information Technology,us_large_mid_equity,2026-02-21,ishares_iwb
AL,AIR LEASE CORP CLASS A,US,Industrials,us_large_mid_equity,2026-02-21,ishares_iwb
ALAB,ASTERA LABS INC,US,Information Technology,us_large_mid_equity,2026-02-21,ishares_iwb
ALB,ALBEMARLE CORP,US,Materials,us_large_mid_equity,2026-02-21,ishares_iwb
ALGM,ALLEGRO MICROSYSTEMS INC,US,Information Technology,us_large_mid_equity,2026-02-21,ishares_iwb
ALGN,ALIGN TECHNOLOGY INC,US,Health Care,us_large_mid_equity,2026-02-21,ishares_iwb
ALK,ALASKA AIR GROUP INC,US,Industrials,us_large_mid_equity,2026-02-21,ishares_iwb
ALL,ALLSTATE CORP,US,Financials,us_large_mid_equity,2026-02-21,ishares_iwb
