Maturity,Category,Title,Description,FRED Series ID
1y,spot_rate,1-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 1-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 1 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB1YR
1.5y,spot_rate,1.5-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 1.5-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 1.5 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB1Y6M
2y,par_yield,2-Year High Quality Market (HQM) Corporate Bond Par Yield,The par yield for 2-Year High Quality Market (HQM) Corporate Bond Par Yield is the coupon rate at which bond prices are zero.,HQMCB2YRP
2y,spot_rate,2-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 2-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 2 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB2YR
2.5y,spot_rate,2.5-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 2.5-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 2.5 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB2Y6M
3y,spot_rate,3-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 3-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 3 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB3YR
3.5y,spot_rate,3.5-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 3.5-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 3.5 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB3Y6M
4y,spot_rate,4-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 4-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 4 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB4YR
4.5y,spot_rate,4.5-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 4.5-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 4.5 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB4Y6M
5y,par_yield,5-Year High Quality Market (HQM) Corporate Bond Par Yield,The par yield for 5-Year High Quality Market (HQM) Corporate Bond Par Yield is the coupon rate at which bond prices are zero.,HQMCB5YRP
5y,spot_rate,5-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 5-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 5 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB5YR
5.5y,spot_rate,5.5-Year High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 5.5-Year High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 5.5 year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB5Y6M
6 y,spot_rate,6 -Month High Quality Market (HQM) Corporate Bond Spot Rate,"The spot rate for 6 -Month High Quality Market (HQM) Corporate Bond Spot Rate is defined as the yield on a bond that gives a single payment after 6  year. This is called a zero coupon bond. Because high quality zero coupon bonds are not generally available, the HQM methodology computes the spot rates so as to make them consistent with the yields on other high quality bonds. The HQM yield curve uses data from a set of high quality corporate bonds rated AAA, AA, or A that accurately represent the high quality corporate bond market.",HQMCB6MT
