Type,Units,Frequency,Asset Class,Category,Area,Grade,FRED Series ID,Title,Description
total_return,index,daily,bonds,duration,us,non_sovereign,BAMLCC1A013YTRIV,ICE BofA 1-3 Year US Corporate Index Total Return Index Value,"This data represents the ICE BofA 1-3 Year US Corporate Index value, a subset of the ICE BofA US Corporate Master Index tracking the performance of US dollar denominated investment grade rated corporate debt publicly issued in the US domestic market. This subset includes all securities with a remaining term to maturity of less than 3 years. When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.

The index data referenced herein is the property of ICE Data Indices, LLC, its affiliates, (""ICE"") and/or its Third Party Suppliers and has been licensed for use by the Federal Reserve Bank of St. Louis. ICE, its affiliates and Third Party Suppliers accept no liability in connection with its use.

Copyright, 2017, ICE Benchmark Administration. Reprinted with permission."
yield,percent,daily,bonds,duration,us,non_sovereign,BAMLC1A0C13YEY,ICE BofA 1-3 Year US Corporate Index Effective Yield,"This data represents the effective yield of the ICE BofA 1-3 Year US Corporate Index, a subset of the ICE BofA US Corporate Master Index tracking the performance of US dollar denominated investment grade rated corporate debt publicly issued in the US domestic market. This subset includes all securities with a remaining term to maturity of less than 3 years. When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.

The index data referenced herein is the property of ICE Data Indices, LLC, its affiliates, (""ICE"") and/or its Third Party Suppliers and has been licensed for use by the Federal Reserve Bank of St. Louis. ICE, its affiliates and Third Party Suppliers accept no liability in connection with its use.

Copyright, 2017, ICE Benchmark Administration. Reprinted with permission."
spread,percent,daily,bonds,duration,us,non_sovereign,BAMLC1A0C13Y,ICE BofA 1-3 Year US Corporate Index Option-Adjusted Spread,"The ICE BofA Option-Adjusted Spreads (OASs) are the calculated spreads between a computed OAS index of all bonds in a given rating category and a spot Treasury curve. An OAS index is constructed using each constituent bond's OAS, weighted by market capitalization. The US Corporate 1-3 Year OAS is a subset of the ICE BofA US Corporate Master OAS, BAMLC0A0CM. This subset includes all securities with a remaining term to maturity of less than 3 years. When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.

The index data referenced herein is the property of ICE Data Indices, LLC, its affiliates, (""ICE"") and/or its Third Party Suppliers and has been licensed for use by the Federal Reserve Bank of St. Louis. ICE, its affiliates and Third Party Suppliers accept no liability in connection with its use.

Copyright, 2017, ICE Benchmark Administration. Reprinted with permission."
yield_to_worst,percent,daily,bonds,duration,us,non_sovereign,BAMLC1A0C13YSYTW,ICE BofA 1-3 Year US Corporate Index Semi-Annual Yield to Worst,"This data represents the semi-annual yield to worst of the ICE BofA 1-3 Year US Corporate Index, a subset of the ICE BofA US Corporate Master Index tracking the performance of US dollar denominated investment grade rated corporate debt publicly issued in the US domestic market. This subset includes all securities with a remaining term to maturity of less than 3 years. When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.

Yield to worst is the lowest potential yield that a bond can generate without the issuer defaulting. The standard US convention for this series is to use semi-annual coupon payments, whereas the standard in the foreign markets is to use coupon payments with frequencies of annual, semi-annual, quarterly, and monthly.

The index data referenced herein is the property of ICE Data Indices, LLC, its affiliates, (""ICE"") and/or its Third Party Suppliers and has been licensed for use by the Federal Reserve Bank of St. Louis. ICE, its affiliates and Third Party Suppliers accept no liability in connection with its use.

Copyright, 2017, ICE Benchmark Administration. Reprinted with permission."
total_return,index,daily,bonds,duration,us,non_sovereign,BAMLCC2A035YTRIV,ICE BofA 3-5 Year US Corporate Index Total Return Index Value,"This data represents the ICE BofA 3-5 Year US Corporate Index value, a subset of the ICE BofA US Corporate Master Index tracking the performance of US dollar denominated investment grade rated corporate debt publicly issued in the US domestic market. This subset includes all securities with a remaining term to maturity of greater than or equal to 3 years and less than 5 years. When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.

The index data referenced herein is the property of ICE Data Indices, LLC, its affiliates, (""ICE"") and/or its Third Party Suppliers and has been licensed for use by the Federal Reserve Bank of St. Louis. ICE, its affiliates and Third Party Suppliers accept no liability in connection with its use.

Copyright, 2017, ICE Benchmark Administration. Reprinted with permission."
yield,percent,daily,bonds,duration,us,non_sovereign,BAMLC2A0C35YEY,ICE BofA 3-5 Year US Corporate Index Effective Yield,"This data represents the effective yield of the ICE BofA 3-5 Year US Corporate Index, a subset of the ICE BofA US Corporate Master Index tracking the performance of US dollar denominated investment grade rated corporate debt publicly issued in the US domestic market. This subset includes all securities with a remaining term to maturity of greater than or equal to 3 years and less than 5 years. When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.

The index data referenced herein is the property of ICE Data Indices, LLC, its affiliates, (""ICE"") and/or its Third Party Suppliers and has been licensed for use by the Federal Reserve Bank of St. Louis. ICE, its affiliates and Third Party Suppliers accept no liability in connection with its use.

Copyright, 2017, ICE Benchmark Administration. Reprinted with permission."
spread,percent,daily,bonds,duration,us,non_sovereign,BAMLC2A0C35Y,ICE BofA 3-5 Year US Corporate Index Option-Adjusted Spread,"The ICE BofA Option-Adjusted Spreads (OASs) are the calculated spreads between a computed OAS index of all bonds in a given rating category and a spot Treasury curve. An OAS index is constructed using each constituent bond's OAS, weighted by market capitalization. The US Corporate 3-5 Year OAS is a subset of the ICE BofA US Corporate Master OAS, BAMLC0A0CM. This subset includes all securities with a remaining term to maturity of greater than or equal to 3 years and less than 5 years. When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.

The index data referenced herein is the property of ICE Data Indices, LLC, its affiliates, (""ICE"") and/or its Third Party Suppliers and has been licensed for use by the Federal Reserve Bank of St. Louis. ICE, its affiliates and Third Party Suppliers accept no liability in connection with its use.

Copyright, 2017, ICE Benchmark Administration. Reprinted with permission."
yield_to_worst,percent,daily,bonds,duration,us,non_sovereign,BAMLC2A0C35YSYTW,ICE BofA 3-5 Year US Corporate Index Semi-Annual Yield to Worst,"This data represents the semi-annual yield to worst of the ICE BofA 3-5 Year US Corporate Index, a subset of the ICE BofA US Corporate Master Index tracking the performance of US dollar denominated investment grade rated corporate debt publicly issued in the US domestic market. This subset includes all securities with a remaining term to maturity of greater than or equal to 3 years and less than 5 years. When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.

Yield to worst is the lowest potential yield that a bond can generate without the issuer defaulting. The standard US convention for this series is to use semi-annual coupon payments, whereas the standard in the foreign markets is to use coupon payments with frequencies of annual, semi-annual, quarterly, and monthly.

The index data referenced herein is the property of ICE Data Indices, LLC, its affiliates, (""ICE"") and/or its Third Party Suppliers and has been licensed for use by the Federal Reserve Bank of St. Louis. ICE, its affiliates and Third Party Suppliers accept no liability in connection with its use.

Copyright, 2017, ICE Benchmark Administration. Reprinted with permission.
"
total_return,index,daily,bonds,duration,us,non_sovereign,BAMLCC3A057YTRIV,ICE BofA 5-7 Year US Corporate Index Total Return Index Value,"This data represents the ICE BofA 5-7 Year US Corporate Index value, a subset of the ICE BofA US Corporate Master Index tracking the performance of US dollar denominated investment grade rated corporate debt publicly issued in the US domestic market. This subset includes all securities with a remaining term to maturity of greater than or equal to 5 years and less than 7 years. When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.

The index data referenced herein is the property of ICE Data Indices, LLC, its affiliates, (""ICE"") and/or its Third Party Suppliers and has been licensed for use by the Federal Reserve Bank of St. Louis. ICE, its affiliates and Third Party Suppliers accept no liability in connection with its use.

Copyright, 2017, ICE Benchmark Administration. Reprinted with permission.
"
yield,percent,daily,bonds,duration,us,non_sovereign,BAMLC3A0C57YEY,ICE BofA 5-7 Year US Corporate Index Effective Yield,"This data represents the effective yield of the ICE BofA 5-7 Year US Corporate Index, a subset of the ICE BofA US Corporate Master Index tracking the performance of US dollar denominated investment grade rated corporate debt publicly issued in the US domestic market. This subset includes all securities with a remaining term to maturity of greater than or equal to 5 years and less than 7 years. When the last calendar day of the month takes place on the weekend, weekend observations will occur as a result of month ending accrued interest adjustments.

The index data referenced herein is the property of ICE Data Indices, LLC, its affiliates, (""ICE"") and/or its Third Party Suppliers and has been licensed for use by the Federal Reserve Bank of St. Louis. ICE, its affiliates and Third Party Suppliers accept no liability in connection with its use.

Copyright, 2017, ICE Benchmark Administration. Reprinted with permission.
"
