title,country,frequency,units,series_id
Consumer Price Index for Australia,australia,annual,growth_previous,CPALTT01AUA657N
Consumer Price Index for Australia,australia,annual,growth_same,CPALTT01AUA659N
Consumer Price Index for Australia,australia,quarterly,growth_previous,CPALTT01AUQ657N
Consumer Price Index for Australia,australia,quarterly,growth_same,CPALTT01AUQ659N
Consumer Price Index for Austria,austria,annual,growth_previous,CPALTT01ATA657N
Consumer Price Index for Austria,austria,annual,growth_same,CPALTT01ATA659N
Consumer Price Index for Austria,austria,monthly,growth_previous,CPALTT01ATM657N
Consumer Price Index for Austria,austria,monthly,growth_same,CPALTT01ATM659N
Consumer Price Index for Austria,austria,quarterly,growth_previous,CPALTT01ATQ657N
Consumer Price Index for Austria,austria,quarterly,growth_same,CPALTT01ATQ659N
Consumer Price Index for Belgium,belgium,annual,growth_previous,CPALTT01BEA657N
Consumer Price Index for Belgium,belgium,annual,growth_same,CPALTT01BEA659N
Consumer Price Index for Belgium,belgium,monthly,growth_previous,CPALTT01BEM657N
Consumer Price Index for Belgium,belgium,monthly,growth_same,CPALTT01BEM659N
Consumer Price Index for Belgium,belgium,quarterly,growth_previous,CPALTT01BEQ657N
Consumer Price Index for Belgium,belgium,quarterly,growth_same,CPALTT01BEQ659N
Consumer Price Index for Brazil,brazil,annual,growth_previous,CPALTT01BRA657N
Consumer Price Index for Brazil,brazil,annual,growth_same,CPALTT01BRA659N
Consumer Price Index for Brazil,brazil,monthly,growth_previous,CPALTT01BRM657N
Consumer Price Index for Brazil,brazil,monthly,growth_same,CPALTT01BRM659N
Consumer Price Index for Brazil,brazil,quarterly,growth_previous,CPALTT01BRQ657N
Consumer Price Index for Brazil,brazil,quarterly,growth_same,CPALTT01BRQ659N
Consumer Price Index for Canada,canada,annual,index_2015,CPALCY01CAA661N
Consumer Price Index for Canada,canada,monthly,index_2015,CPALCY01CAM661N
Consumer Price Index for Canada,canada,quarterly,index_2015,CPALCY01CAQ661N
Consumer Price Index for Canada,canada,annual,growth_previous,CPALTT01CAA657N
Consumer Price Index for Canada,canada,annual,growth_same,CPALTT01CAA659N
Consumer Price Index for Canada,canada,monthly,growth_previous,CPALTT01CAM657N
Consumer Price Index for Canada,canada,monthly,growth_same,CPALTT01CAM659N
Consumer Price Index for Canada,canada,quarterly,growth_previous,CPALTT01CAQ657N
Consumer Price Index for Canada,canada,quarterly,growth_same,CPALTT01CAQ659N
Consumer Price Index for Chile,chile,annual,growth_previous,CPALTT01CLA657N
Consumer Price Index for Chile,chile,annual,growth_same,CPALTT01CLA659N
Consumer Price Index for Chile,chile,monthly,growth_previous,CPALTT01CLM657N
Consumer Price Index for Chile,chile,monthly,growth_same,CPALTT01CLM659N
Consumer Price Index for Chile,chile,quarterly,growth_previous,CPALTT01CLQ657N
Consumer Price Index for Chile,chile,quarterly,growth_same,CPALTT01CLQ659N
Consumer Price Index for China,china,annual,growth_previous,CPALTT01CNA657N
Consumer Price Index for China,china,monthly,growth_previous,CPALTT01CNM657N
Consumer Price Index for China,china,monthly,growth_same,CPALTT01CNM659N
Consumer Price Index for China,china,quarterly,growth_previous,CPALTT01CNQ657N
Consumer Price Index for China,china,quarterly,growth_same,CPALTT01CNQ659N
Consumer Price Index for Denmark,denmark,annual,growth_previous,CPALTT01DKA657N
Consumer Price Index for Denmark,denmark,annual,growth_same,CPALTT01DKA659N
Consumer Price Index for Denmark,denmark,monthly,growth_previous,CPALTT01DKM657N
Consumer Price Index for Denmark,denmark,monthly,growth_same,CPALTT01DKM659N
Consumer Price Index for Denmark,denmark,quarterly,growth_previous,CPALTT01DKQ657N
Consumer Price Index for Denmark,denmark,quarterly,growth_same,CPALTT01DKQ659N
Consumer Price Index for Estonia,estonia,annual,growth_previous,CPALTT01EEA657N
Consumer Price Index for Estonia,estonia,annual,growth_same,CPALTT01EEA659N
Consumer Price Index for Estonia,estonia,annual,index_2015,CPALTT01EEA661N
Consumer Price Index for Estonia,estonia,monthly,growth_previous,CPALTT01EEM657N
Consumer Price Index for Estonia,estonia,monthly,growth_same,CPALTT01EEM659N
Consumer Price Index for Estonia,estonia,monthly,index_2015,CPALTT01EEM661N
Consumer Price Index for Estonia,estonia,quarterly,growth_previous,CPALTT01EEQ657N
