COSS Company,FOSS Core(s),Sector / Space,Round,Size (M),Month Announced,Year,Lead VC,Link
Ridge,,,Seed + A,$22.0,January,2022,NFX,https://www.itprotoday.com/cloud-computing-and-edge-computing/ridge-raises-22m-global-cloud-services-platform
Airbyte,Airbyte,,Seed,$5.2,March,2021,Accel,https://airbyte.io/articles/our-story/we-raised-a-5m-seed-round-with-accel-to-commoditize-data-integration/
Voltron Data,Apache Arrow,,Seed,$22.0,February,2022,Walden Catalyst,https://voltrondata.com/news/fundinglaunch/
Athens,Athens,,Seed,$1.9,April,2021,Caffeinated,https://athensresearch.ghost.io/athens-1-9m-seed-round-led-by-caffeinated-capital/
Fig,Autocomplete,,Seed,$2.2,August,2021,General Catalyst,https://techcrunch.com/2021/08/25/fig-raises-2-2m-to-supercharge-the-terminal/
BuildBuddy,Bazel,,Seed,$3.1,December,2020,YC,https://techcrunch.com/2020/12/01/yc-backed-buildbuddy-raises-3-15m-to-help-developers-build-software-more-quickly/
Build.security,Build.security,,Seed,$6.0,November ,2020,YL Ventures,https://www.businesswire.com/news/home/20201118005269/en/build.security-Emerges-from-Stealth-with-6M-in-Backing-from-YL-Ventures-CrowdStrike%E2%80%99s-George-Kurtz-and-Lineup-of-Cybersecurity-Leaders
Cape Privacy,Cape Privacy,,Seed,$5.0,June,2020,Boldstart and Version One,https://techcrunch.com/2020/06/24/cape-privacy-launches-data-science-collaboration-platform-with-5-06m-seed-investment/
Chatwoot,Chatwoot,,Seed,$1.6,August,2021,Goat Capital,https://venturebeat.com/2021/08/09/chatwoot-challenges-zendesk-with-open-source-customer-engagement-platform/
Altinity,ClickHouse,,Seed,$4.0,October,2020,Accel,https://altinity.com/press-releases/altinity-introduces-altinity-cloud-and-secures-4m-in-funding-from-accel
Stacklet,Cloud Custodian,,Seed,$4.4,August,2020,Foundation,https://www.google.com/amp/s/techcrunch.com/2020/08/12/stacklet-launches-cloud-governance-platform-with-4-4m-seed-investment/amp/
Crowdsec ,Crowdsec ,,Seed,$5.0,May,2021,Breega ,https://crowdsec.net/2021/05/05/fundraiser-announcement/
Cube Dev,Cube.js,,Seed,$6.2,September,2020,Bain Capital Ventures,https://techcrunch.com/2020/09/29/cube-js-raises-6-5m-for-its-open-source-data-platform/
Coiled,Dask,,Seed,$5.0,September,2020,Costanoa + IA,https://coiled.io/blog/coiled-dask-for-everyone-everywhere/
Acryl Data,DataHub,,Seed,$9.0,June,2021,8VC,https://techcrunch.com/2021/06/23/acryl-data-commercializing-linkedins-metadata-tool-datahub-emerges-from-stealth-with-9m-from-8vc-linkedin-and-insight/
Metaphor,DataHub,,Seed,$5.3,December,2020,"Amplify Partners, a16z",https://pardhugunnam.medium.com/announcing-metaphor-data-c86170c81202
Dendron,Dendron,,Seed,$2.0,April,2021,FUSE,https://capital.us20.list-manage.com/track/click?u=d40c29f25081bce43ff16e6fa&id=1b143bfc58&e=3a0943fffb
Deno,Deno,,Seed,$4.9,March,2021,Four Rivers,https://deno.com/blog/the-deno-company
Slim.ai,Docker,,Seed,$6.6,January,2021,Boldstart Ventures,https://medium.com/boldstart-ventures/delivering-containerized-applications-faster-excited-to-announce-boldstarts-investment-in-slim-ai-fd0fa3087b6b
Earthly,Earthly,,Seed,$2.0,October,2020,438 Capital,https://www.businesswire.com/news/home/20201008005205/en/
Frappe,ERPNext,,Seed,$1.4,November ,2020,Rainmatter,https://frappe.io/blog/announcements/frappe-zerodha
Jistu,EventNative,,Seed,$2.0,December,2020,Costanoa,https://medium.com/jitsu/the-origin-of-jitsu-b47c4b99cece
FingerprintJS,FingerprintJS,,Seed,$4.0,October,2020,Nexus Venture Partners,https://techcrunch.com/2020/10/13/commercializing-the-open-source-fingerprintjs-browser-fingerprinting-tech-nabs-chicago-entrepreneur-4m/
Charm,Glow,,Seed,$3.0,April,2021,Cavalry,https://venturebeat.com/2021/04/20/charm-embraces-open-source-to-make-command-line-interfaces-glamorous/
Grouparoo,Grouparoo,,Seed,$3.0,November ,2020,"Eniac Ventures, Fuel Capital",https://www.grouparoo.com/blog/seed-round
HiveMQ,HiveMQ,,Seed,$11.3,May,2021,"Earlybird, Senovo",https://www.hivemq.com/blog/hivemq-is-ready-for-lift-off/
ProjectDiscovery.io,https://github.com/projectdiscovery,,Seed,$1.7,February ,2021,Signalfire,https://blog.projectdiscovery.io/we-are-going-full-time/
Intrigue,Intrigue,,Seed,$2.0,April,2021,LiveOak,https://capital.us20.list-manage.com/track/click?u=d40c29f25081bce43ff16e6fa&id=b874926c02&e=3a0943fffb
Unfolded,kepler.gl+deck.gl,,Seed,$6.0,January,2021,S28 / IA,https://techcrunch.com/2021/01/26/ex-uber-team-raises-6m-seed-for-geospatial-analytics-platform-unfolded-ai/?tpcc=ECTW2020
Spectro Cloud,Kubernetes,,Seed,$7.5,March,2020,Sierra Ventures,https://medium.com/spectro-cloud/hello-world-were-spectro-cloud-207d5f726414
Stackwatch / Kubecost,Kubernetes,,Seed,$5.5,March,2021,First Round,http://blog.kubecost.com/blog/announcing-kubecost-first-round/
Shipa,Kubernetes,,Seed,$3.8,November ,2020,"Engineering Capital, Jump Capital",https://siliconangle.com/2020/10/08/shipa-debuts-cloud-native-application-management-framework/
Mapped,Mapped,,Seed,6.5,July,2021,MetaProp + Allegiance,https://venturebeat.com/2021/06/29/mapped-raises-6-5m-to-build-api-for-the-digital-twin-of-data-infrastructure/
Opaque Systems,mc2,,Seed,$9.5,July,2021,Intel Capital,https://techcrunch.com/2021/07/07/opaque-raises-9-5m-seed-to-secure-sensitive-data-in-the-cloud/
Meltano,Meltano,,Seed,$4.2,June,2021,GV,https://meltano.com/blog/?s=SEED
Meltano,Meltano,,Seed,$4.2,July,2021,GV,https://meltano.com/blog/2021/06/30/meltano-spins-out-of-gitlab-raises-seed-round/
MindsDB,MindsDB,,Seed,$4.0,May,2020,OpenOcean,https://venturebeat.com/2020/04/16/mindsdb-raises-3-million-for-open-source-automated-machine-learning/
Moov,Moov,,Seed,$5.5,August,2020,Bain,https://moov.io/blog/news/moov-announces-seed-round/
VEsoft,Nebula Graph,,Seed,$8.0,June,2020,Redpoint China,https://nebula-graph.io/posts/nebula-graph-raises-8-million-dollars-in-series-pre-a-funding/
Seqera Labs,Nextflow,,Seed,$5.5,September,2021,"Talis Capital, Speedinvest",https://www.seqera.io/news/seqera-labs-announces-5-5M-seed-round/
Nhost,Nhost,,Seed,$3.0,April,2021,Nauta,https://venturebeat.com/2021/04/22/nhost-is-an-open-source-firebase-rival-backed-by-githubs-founders/
Last Energy,Open-100,,Seed,$3.0,March,2020,First Round,https://venturebeat.com/2020/02/25/last-energy-raises-3-million-to-fight-climate-change-with-nuclear-energy/
Openbase,Openbase,,Seed,$3.6,January,2021,Zeev Ventures,https://www.linkedin.com/pulse/announcing-openbases-36m-seed-round-help-developers-choose-grossman/
Orbit,Orbit,,Seed,$4.0,December,2020,a16z,https://orbit.love/blog/powering-community-led-growth/
Supabase,Postgres,,Seed,$6.0,December,2020,Coatue,https://www.rocketnews.com/2020/12/supabase-raises-6m-for-its-open-source-firebase-alternative/
PostHog,PostHog,,Seed,$3.9,June,2020,YC,https://posthog.com/blog/raising-3m-for-os
Ahana,PrestoDB,,Seed,$2.2,June,2020,GV,https://ahana.io/press-releases/ahana-raises-2-25-million-seed-funding-led-by-gv-and-joins-linux-foundations-presto-foundation/
QuestDB,QuestDB,,Seed,$2.3,July,2020,Episode 1,https://techcrunch.com/2020/07/02/questdb-nabs-2-3m-seed-to-build-open-source-time-series-database/
CtrlIQ,Rocky Linux,,Seed,$4.0,January,2021,OpenDrives,https://www.globenewswire.com/news-release/2021/01/28/2165980/0/en/Ctrl-IQ-Makes-its-Market-Debut-to-Democratize-Secure-Hybrid-Orchestration-for-Performance-Intensive-Workflows.html
Rome Tools,Rome,,Seed,$4.5,May,2021,"OSS Capital, A Capital",https://rome.tools/blog/announcing-rome-tools-inc/
RoboCorp,RPA Framework,,Seed,$5.5,May,2020,Benchmark,https://robocorp.com/news/funding-ahead-of-ga-release
RudderStack,RudderStack,,Seed,$5.0,May,2020,S28,https://techcrunch.com/2020/05/27/rudderstack-raises-5m-seed-round-for-its-open-source-segment-competitor/
Rumble,Rumble,,Seed,$5.0,March,2021,Decibel,https://www.rumble.run/press/decibel-funding/
Saleor,Saleor,,Seed,$2.5,March,2021,Cherry Ventures,https://techcrunch.com/2021/03/18/saleor/
Serverless Stack,Serverless Stack,,Seed,$1.0,July,2021,"Greylock Partners, SV Angel, Y Combinator",https://serverless-stack.com/blog/serverless-stack-raises-1m-to-make-it-easy-to-build-serverless-apps.html
Explosion,spaCy,,Seed,$6.0,September,2021,SignalFire,https://explosion.ai/blog/weve-sold-5-percent-of-explosion
Prophecy.io,Spark/K8s,,Seed,$6.0,February,2021,SignalFire,https://finance.yahoo.com/news/prophecy-io-launches-low-code-120000036.html
VIAM,TBD,,Seed,$12.0,June,2021,USV,http://www.eliothorowitz.com/blog/2021/06/29/viams-seed-round/
Temporal,Temporal,,Seed,$6.8,October,2020,Amplify,https://docs.temporal.io/blog/funding-announcement/
Terminus,TerminusDB,,Seed,$4.2,March,2021,Volta Ventures,https://www.irishtimes.com/business/technology/trinity-college-spinout-terminusdb-secures-3-6m-in-investment-1.4510067
AtomicJar,Testcontainers,,Seed,$4.0,June,2021,Boldstart Ventures,https://www.atomicjar.com/2021/06/announcing-atomicjar-inc/
Unleash,Unleash,,Seed,$2.5,September,2021,"Firstminute Capital, Frontline VC, Marten Mickos, Nicolas Dessaigne",https://venturebeat.com/2021/09/03/how-unleash-is-using-open-source-feature-management-to-make-devs-more-efficient/
Ursa Computing,Ursa Labs,,Seed,$4.9,December,2020,GV,https://ursalabs.org/blog/ursa-computing/
Vue Storefront,vue-storefront,,Seed,$1.5,January,2021,"SMOK Ventures, Movens VC",https://www.vuestorefront.io/blog/vue-storefront-raises-1-5m-to-turn-the-fastest-growing-open-source-ecommerce-project-into-a-business
WayScript,Wayscript,,Seed,$5.0,August,2020,Greycroft,https://wayscript.com/learn/wayscript-raises-$5m-seed-round
Webiny,Webiny,,Seed,$3.5,August,2021,M12,https://www.webiny.com/blog/webiny-raises-3-5M-in-seed-round-led-by-microsoft
Tailscale,WireGuard,,Seed,$3.0,April,2020,Heavybit,https://tailscale.com/blog/tailscale-launch/
Commit,Zero,,Seed,$6.0,June,2021,Accomplice,https://techcrunch.com/2021/06/09/commit-raises-6m-seed-round-to-match-senior-engineers-to-startups-they-want-to-work-for/
ZeroTier,ZeroTier,,Seed,$2.0,February,2021,Anorak & Bonfire,https://www.zerotier.com/2021/02/17/zerotier-raises-2m-for-a-radically-simple-approach-to-networking/
Faros,,,Seed,$16.0,March,2022,"Signal Fire, Salesforce Ventures, Global Founders Capital",https://www.faros.ai/blog/we-raised-usd16m-to-drive-the-future-of-engineering-operations-join-us-on-this-exciting-journey?utm_source=Twitter&utm_medium=social&utm_campaign=Twitterorganic2022
Appwrite,,,Seed,$10.0,October,2021,"Bessemer Venture Partners, Flybridge",https://appwrite.io/seed
Union.ai,,,Seed,$10.0,April,2022,NEA,https://techcrunch.com/2022/04/12/union-ai-raises-10m-to-simplify-ai-and-ml-workflow-orchestration/
Aleph.im,,,Seed,$10.0,January,2022,Stratos Technologies,https://medium.com/aleph-im/aleph-im-raises-10m-in-strategic-bid-to-become-web3s-decentralized-answer-to-amazon-lambda-4d97df5623fc
Orkes,,,Seed,$9.3,March,2022,"Battery Ventures, Vertex Ventures",https://techcrunch.com/2022/02/28/orkes-from-the-creators-of-netflixs-open-source-conductor-workflow-orchestration-tool-comes-out-of-stealth-with-9-3m/
OpenBB,,,Seed,$8.5,April,2022,OSS Capital,https://www.openbb.co/blog/gme-didnt-take-me-to-the-moon-but-gamestonk-terminal-did
Tea,,,Seed,$8.0,March,2022,Binance Labs,
Onehouse,,,Seed,$8.0,February,2022,Greylock Ventures,https://www.onehouse.ai/blog/introducing-onehouse
Stackblitz,,,Seed,$7.9,April,2022,Greylock Ventures,https://blog.stackblitz.com/posts/seed-funding/
MindsDB,,,Seed,$7.6,November,2021,Walden Catalyst,https://mindsdb.com/newsroom/press-release-mindsdb-announces-7-6m-total-seed-funding-partners-with-snowflake-singlestore-datastax/?utm_medium=social&utm_source=twitter&utm_campaign=press-release-2021-october
Cal.com,,,Seed,$7.4,December,2021,OSS Capital,https://cal.com/blog/seed
Amplication,,,Seed,$6.6,February,2022,"Norwest, Vertex Ventures",https://venturebeat.com/2022/02/09/amplication-builds-out-open-source-low-code-no-code-platform/
Sync Computing,,,Seed,$6.1,January,2022,"Moore STrategic Ventures, National Grid Partners",https://synccomputing.com/distributed-cloud-infrastructure-innovator-sync-computing-emerges-from-stealth-brings-in-6-1-million/
KSOC,,,Seed,$6.0,February,2022,.406 Ventures,https://blog.ksoc.com/ksoc-our-story/
Kubermatic,,,Seed,$6.0,November,2021,Nauta Capital,https://www.kubermatic.com/blog/kubermatic-raises-6m-in-seed-funding-to-accelerate-growth-automation/?utm_content=186874946&utm_medium=social&utm_source=twitter&hss_channel=tw-2834364461
Permit.io,,,Seed,$6.0,February,2022,NFX,https://techcrunch.com/2022/02/15/permit-io-raises-6m-to-make-permissions-easier/
Plural,,,Seed,$6.0,March,2022,SignalFire,https://blog.plural.sh/announcing-plurals-6m-seed-round/
Speckle,,,Seed,$5.5,April,2022,Frontline Ventures,https://speckle.systems/blog/growing-the-speckle-seed/
Scarf,,,Seed,$5.3,December,2021,"Rae Capital, Freestyle Capital",https://www.businesswire.com/news/home/20211215005087/en/Scarf-Takes-Total-Funding-to-7.3M-for-its-Sophisticated-Approach-to-Open-Source-Analytics
Activeloop,,,Seed,$5.0,November,2021,"468 Capital, CM Ventures",https://techcrunch.com/2021/11/02/activeloop-snags-5m-seed-to-build-database-for-ai-applications/
Chainguard,,,Seed,$5.0,December,2021,Amplify Partners,https://runpanther.io/press-releases/panther-labs-raises-120m-series-b-with-unicorn-valuation-led-by-coatue/
Fleet,,,Seed,$5.0,January,2022,CRV,https://blog.fleetdm.com/from-osquery-to-fleet-planting-the-seed-bb37fea9770d
MeiliSearch,,,Seed,$5.0,January,2022,CRV,https://blog.meilisearch.com/meilisearch-raised-5meu-seed-fundraising/
Profian,,,Seed,$5.0,October,2021,Project A,https://aliceevebob.com/2021/09/30/announcing-profian/
Calyptia,,,Seed,$5.0,March,2022,Sierra Ventures,https://calyptia.com/2022/03/02/calpytia-raises-5m-seed-round-to-bring-fluent-bit-to-the-enterprise/
Loft,,,Seed,$4.6,September,2021,Fusion Fund,https://loft.sh/blog/loft-labs-raises-4.6-million-seed-funding-to-scale-up-self-service-access-to-kubernetes-for-engineering-teams/?utm_medium=social&utm_source=twitter&utm_campaign=blog_loft-labs-raises-4.6-million-seed-funding-to-scale-up-self-service-access-to-kubernetes-for-engineering-teams
Akuity,,,Seed,$4.5,October,2021,Decibel Ventures,https://blog.akuity.io/launching-akuity-to-modernize-the-cloud-native-toolchain-with-argo-e6b719f6b47b
Theatre.js,,,Seed,$4.5,January,2022,OSS Capital,https://blog.theatrejs.com/announcing-45m-seed-for-theatrejs
