Fond,ISIN,Fond Bolag,Region,Kategori,ID
Aberdeen Glb Sus Eq A Acc USD,LU0094547139,Aberdeen,,,70196
Aberdeen Japanese Sstnb Eq Sus S Acc JPY,LU0476876247,Aberdeen,,,232949
Aberdeen Jpn Sm Coms Sus Eq S Acc JPY,LU0476876833,Aberdeen,,,232953
abrdn All China Sus Equity S Acc USD,LU0476876163,Aberdeen,,,232950
abrdn Asia Pacific Eq S Acc USD,LU0476875868,Aberdeen,,,232951
abrdn Asian Smllr Coms A Acc USD,LU0231459107,Aberdeen,,,70031
abrdn China A Share Sus Eq A Acc USD,LU1146622755,Aberdeen,,,1307500
abrdn EM Corp Bd A Acc USD,LU0566480116,Aberdeen,,,290802
abrdn Emerging Markets Eq A Acc USD,LU0132412106,Aberdeen,,,70074
abrdn Euro Govt Bd A Acc EUR,LU1646950771,Aberdeen,,,831733
abrdn Eurp Eq Div S Acc EUR,LU0505783562,Aberdeen,,,241953
abrdn Global Inno Eq S Acc USD,LU0476877211,Aberdeen,,,232954
abrdn Indian Equity A Acc USD,LU0231490524,Aberdeen,,,69959
abrdn Latin Amer Eq A Acc USD,LU0396314238,Aberdeen,,,300236
abrdn Mltfct Glbl Eq A Acc EUR,LU1703976222,Aberdeen,,,832735
abrdn NA SmComs A Acc USD,LU0566484027,Aberdeen,,,1307499
abrdn Sel EM Bd A Acc USD,LU0132414144,Aberdeen,,,71042
abrdn SelEuro HYBd A Acc EUR,LU0119176310,Aberdeen,,,70501
abrdn USD Crdt Sus Bd A Acc USD,LU1646952801,Aberdeen,,,832734
abrdn Wld Res Eq S USD Acc,LU0505784297,Aberdeen,,,241951
Adrigo Small & Midcap L/S,SE0010440735,East Capital,,,792013
AGCM Asia Dividend RC1 SEK,LU2083136650,Asia Growth,,,1142277
AGCM Asia Growth RC SEK,LU1091660909,Asia Growth,,,544595
AGCM China Stars RC1 SEK,LU1608617111,Asia Growth,,,782933
Aktie-Ansvar Avkastningsfond,SE0000735771,Aktie-Ansvar,,,2034
Aktie-Ansvar Europa,SE0000735797,Aktie-Ansvar,,,632
Aktie-Ansvar Räntestrategi,SE0014428165,Aktie-Ansvar,,,1106850
Aktie-Ansvar Saxxum Aktiv A,SE0005218120,Aktie-Ansvar,,,429484
Aktie-Ansvar Sverige A,SE0000735789,Aktie-Ansvar,,,1901
Aktie-Ansvar Total,SE0003428143,Aktie-Ansvar,,,246208
Aktiehuset Fond,SE0013222882,SIP Nordic Fondkommission AB,,,1161196
Aktiespararna Direktavkastning A,SE0008321780,Cicero,,,693833
Aktiespararna Småbolag Edge,SE0011415256,Cicero,,,1236399
Aktiespararna Topp Sverige Hållbar A,SE0000924649,Cicero,,,1961
Alcur,SE0001904798,Alcur Fonder,,,933615
Alcur Grow B,SE0015196019,Alcur Fonder,,,1170516
Alfred Berg Aktiv,NO0010089444,Alfred Berg,,,1340461
Alfred Berg Gambak,NO0010105489,Alfred Berg,,,15147
Alfred Berg Income A,SE0016275697,Alfred Berg,,,1340459
Alfred Berg Nordic Gambak C,NO0010833395,Alfred Berg,,,981861
Alfred Berg Nordic Small Cap ESG A,SE0014399549,Alfred Berg,,,1129405
Alfred Berg Norge C,NO0010089402,Alfred Berg,,,1340460
Allianz All China Equity AT USD,LU1720050803,Allianz,,,863473
Allianz Asian Small Cap Equity AT15 USD,LU1055786526,Allianz,,,481107
Allianz China A Opportunities AT USD,LU2289578879,Allianz,,,1197215
Allianz China A Shares AT USD,LU1997245177,Allianz,,,1011686
Allianz China Equity A USD,LU0348825331,Allianz,,,286894
Allianz China Strategic Bond A USD,LU0665630819,Allianz,,,320490
Allianz Cyber Security AT USD Acc,LU2286300806,Allianz,,,1237259
Allianz Dynamic Commodities A EUR,LU0542493225,Allianz,,,1386016
Allianz Emerging Asia Equity A USD,LU0348788117,Allianz,,,414058
Allianz Euro High Yield Bond A EUR,LU0482909818,Allianz,,,286898
Allianz Europe Equity Gr Sel AT EUR,LU0920839346,Allianz,,,414960
Allianz Europe Equity Growth A EUR,LU0256839191,Allianz,,,151059
Allianz Europe Equity SRI A EUR,LU0542502157,Allianz,,,290798
Allianz Europe Small Cap Equity AT EUR,LU0293315296,Allianz,,,288001
Allianz European Equity Div AT EUR,LU0414045822,Allianz,,,288003
Allianz Global Artfcl Intlgc AT EUR,LU1548497699,Allianz,,,759593
Allianz Global Equity Growth AT USD,LU1633808545,Allianz,,,1173921
Allianz Global Equity Insights A EUR,LU1508476725,Allianz,,,741453
Allianz Global High Yield A USD,LU1480270997,Allianz,,,746774
Allianz Global Metals and Mining A EUR,LU0589944643,Allianz,,,334858
Allianz Global Small Cap Equity AT USD,LU0963586101,Allianz,,,436817
Allianz Global Sustainability A EUR,LU0158827195,Allianz,,,151033
Allianz Global Water AT EUR,LU1890834598,Allianz,,,909774
Allianz Green Bond AT3 H2 SEK,LU1522997029,Allianz,,,746773
Allianz Income and Growth AT USD,LU0689472784,Allianz,,,334870
Allianz Japan Equity A USD,LU0348751388,Allianz,,,393598
Allianz Pet and Animal Wlb AT EUR,LU1931535931,Allianz,,,1133347
Allianz Smart Energy AT USD,LU2048586759,Allianz,,,1275620
Allianz Strategic Bond AT H2-EUR,LU2066004206,Allianz,,,1084210
Allianz Thailand Equity A EUR,LU0348798009,Allianz,,,393595
Allianz US Equity Fund AT USD,LU0256863902,Allianz,,,410277
Allianz US High Yield AM USD,LU0516397667,Allianz,,,334871
AMF Aktiefond Asien Stilla havet,SE0002572313,AMF,,,143369
AMF Aktiefond Europa,SE0000739153,AMF,,,736
AMF Aktiefond Global,SE0000862278,AMF,,,1887
AMF Aktiefond Nordamerika,SE0002042283,AMF,,,96927
AMF Aktiefond Småbolag,SE0001185000,AMF,,,2801
AMF Aktiefond Sverige,SE0000739195,AMF,,,1949
AMF Aktiefond Tillväxtmarknader,SE0013110798,AMF,,,1025148
AMF Aktiefond Världen,SE0000739161,AMF,,,2300
AMF Balansfond,SE0000739179,AMF,,,281
AMF Företagsobligationsfond,SE0011414606,AMF,,,887413
AMF Räntefond Kort,SE0001184961,AMF,,,2802
AMF Räntefond Lång,SE0000739187,AMF,,,2111
AMF Räntefond Mix,SE0004324424,AMF,,,333557
Amundi Fds China Equity A USD C,LU1882445643,Amundi,,,972004
Amundi Fds Emerging Wld Eq A USD C,LU0347592197,Amundi,,,173876
Amundi Fds Equity Jpn Trgt A JPY C,LU0568583008,Amundi,,,301420
Amundi Fds Equity MENA A USD C,LU0568613946,Amundi,,,301423
Amundi Fds Euro HY Bd A EUR C,LU0119110723,Amundi,,,70110
Amundi Fds Euroland Equity A EUR C,LU1883303635,Amundi,,,972003
Amundi Fds Glbl Eq Cnsrv A USD C,LU0801842559,Amundi,,,439855
Amundi Fds Pio US Bond A USD C,LU1880401523,Amundi,,,972534
Amundi Fds Pio US Eq Rsrch Val A USD C,LU1894683009,Amundi,,,972005
Amundi Fds SBI FM India Eq A USD C,LU0236501697,Amundi,,,71332
Amundi Fds Volatil Wld A USD C,LU0319687124,Amundi,,,177748
