MIC,Name
XALS,ALBANIA SECURITIES EXCHANGE
XTIR,TIRANA STOCK EXCHANGE
XALG,ALGIERS STOCK EXCHANGE
XBDV,BOLSA DE DIVIDA E VALORES DE ANGOLA (BODIVA) - ANGOLA SECURITIES EXCHANGE
XFTX,FTX
BACE,BOLSA DE CEREALES DE BUENOS AIRES
BCFS,BOLSA DE COMERCIO DE SANTA FE
MVCX,MERCADO DE VALORES DE CORDOBA S.A.
ROFX,ROSARIO FUTURE EXCHANGE
XBCC,BOLSA DE COMERCIO DE CORDOBA
XBCM,BOLSA DE COMERCIO DE MENDOZA S.A.
XBCX,MERCADO DE VALORES DE MENDOZA S.A.
XBUE,BOLSA DE COMERCIO DE BUENOS AIRES
XCNF,BOLSA DE COMERCIO CONFEDERADA S.A.
XMAB,MERCADO ABIERTO ELECTRONICO S.A.
XMEV,MERCADO DE VALORES DE BUENOS AIRES S.A.
XMTB,MERCADO A TERMINO DE BUENOS AIRES S.A.
XMVL,MERCADO DE VALORES DEL LITORAL S.A.
XROS,BOLSA DE COMERCIO ROSARIO
XROX,MERCADO DE VALORES DE ROSARIO S.A.
XTUC,NUEVA BOLSA DE COMERCIO DE TUCUMAN S.A.
XARM,ARMENIA SECURITIES EXCHANGE
APXL,SYDNEY STOCK EXCHANGE LIMITED
ASXB,ASX BOOKBUILD
ASXC,ASX - CENTRE POINT
ASXP,ASX - PUREMATCH
ASXT,ASX TRADEMATCH
ASXV,ASX - VOLUMEMATCH
AWBX,AUSTRALIAN WHEAT BOARD
AWEX,AUSTRALIAN WOOL EXCHANGE
BGCA,BGC PARTNERS (AUSTRALIA) PTY LTD
BLEV,BLOCK EVENT
BLXA,INSTINET BLX (AU)
CFAU,CROSSFINDER AUSTRALIA
CGMA,CITI MATCH AUSTRALIA
CHIA,CBOE AUSTRALIA
CLAU,CLSA AUSTRALIA - DARK
CSAU,CREDIT SUISSE EQUITIES (AUSTRALIA) LIMITED
CXAC,CBOE AUSTRALIA - LIMIT VENUE
CXAF,CBOE AUSTRALIA MARKET PEG (FARPOINT) VENUE
CXAM,CBOE AUSTRALIA MOC
CXAN,CBOE AUSTRALIA PRIMARY PEG (NEARPOINT) VENUE
CXAP,CBOE AUSTRALIA MID-POINT VENUE
CXAQ,CBOE AUSTRALIA - QUOTED MANAGED FUNDS
CXAR,CBOE AUSTRALIA - TRANSFERABLE CUSTODY RECEIPT MARKET
CXAV,CBOE AUSTRALIA VWAP
CXAW,CBOE AUSTRALIA - WARRANTS
GFAU,GFI AUSTRALIA PTY LTD
MACB,MACQUARIE AUSTRALIA BLOCK CROSSING
MAQX,MACQUARIE INTERNAL MARKETS (AUSTRALIA)
MSAL,MORGAN STANLEY AUSTRALIA SECURITIES LIMITED
NSXB,BENDIGO STOCK EXCHANGE LIMITED
NZFX,ASX - NEW ZEALAND FUTURES & OPTIONS
SIGA,SIGMA X AUSTRALIA
SIMV,SIM VENTURE SECURITIES EXCHANGE
XASX,ASX - ALL MARKETS
XFEX,FEX GLOBAL
XLQC,LIQUIDITY CUBE PTY LTD
XNEC,NATIONAL STOCK EXCHANGE OF AUSTRALIA LIMITED
XSFE,ASX - TRADE24
XYIE,YIELDBROKER PTY LTD
APAW,WIENER BOERSE AG - APA
BKSK,BKS BANK AG - SYSTEMATIC INTERNALISER
EGSI,ERSTE GROUP BANK AG
EXAA,"WIENER BOERSE AG, AUSTRIAN ENERGY EXCHANGE"
FPWB,FIRSTPLACE WIENER BOERSE
LLAT,LIECHTENSTEINISCHE LANDESBANK (OSTERREICH) AG - SYSTEMATIC INTERNALISER
OBKL,OBERBANK AG - SYSTEMATIC INTERNALISER
RBIV,RAIFFEISEN BANK INTERNATIONAL AG - SYSTEMATIC INTERNALISER
RLBO,RAIFFEISENLANDESBANK OBERÖSTERREICH - SYSTEMATIC INTERNALISER
SLHB,SALZBURGER LANDES-HYPOTHEKENBANK
UCBA,UNICREDIT BANK AUSTRIA AG
WBAH,WIENER BOERSE AG AMTLICHER HANDEL (OFFICIAL MARKET)
WBDM,WIENER BOERSE AG VIENNA MTF (VIENNA MTF)
XRCB,RAIFFEISEN CENTROBANK AG - SYSTEMATIC INTERNALISER
XVIE,"WIENER BOERSE AG, WERTPAPIERBOERSE (SECURITIES EXCHANGE)"
XWBO,WIENER BOERSE AG
BSEX,BAKU STOCK EXCHANGE
XIBE,BAKU INTERBANK CURRENCY EXCHANGE
XBAA,BAHAMAS INTERNATIONAL SECURITIES EXCHANGE
BFEX,BAHRAIN FINANCIAL EXCHANGE
XBAH,BAHRAIN BOURSE
XCHG,CHITTAGONG STOCK EXCHANGE LTD.
XDHA,DHAKA STOCK EXCHANGE LTD
BAJM,BARBADOS STOCK EXCHANGE - JUNIOR MARKET
XBAB,BARBADOS STOCK EXCHANGE
XBIS,BARBADOS STOCK EXCHANGE - INTERNATIONAL SECURITIES MARKET
BCSE,BELARUS CURRENCY AND STOCK EXCHANGE
ALXB,EURONEXT GROWTH BRUSSELS
BEAM,MTS ASSOCIATED MARKETS
BELB,BELFIUS BANK NV/SA
BELF,BELFIUS BANK NV/SA FIXED INCOME - SYSTEMATIC INTERNALISER
BKBF,BNY MELLON S.A./N.V. - BRUSSELS BRANCH - SYSTEMATIC INTERNALISER
BKBR,BNY MELLON S.A./N.V. - BRUSSELS BRANCH
BLPX,BELGIAN POWER EXCHANGE
BMTS,MTS BELGIUM
BNPF,BNP PARIBAS FORTIS SA/NV- SYSTEMATIC INTERNALISER
KBCB,KBC BANK NV  GROUP MARKETS - SYSTEMATIC INTERNALISER
MLXB,EURONEXT ACCESS BRUSSELS
MTSD,MTS DENMARK
MTSF,MTS FINLAND
SMBB,SUMITOMO MITSUI BANKING CORPORATION - BRUSSELS BRANCH - SYSTEMATIC INTERNALISER
TNLB,EURONEXT - TRADING FACILITY BRUSSELS
TNLK,EURONEXT BLOCKS
VPXB,EURONEXT - VENTES PUBLIQUES BRUSSELS
XBRD,EURONEXT - EURONEXT BRUSSELS - DERIVATIVES
XBRU,EURONEXT - EURONEXT BRUSSELS
24EX,24 EXCHANGE
GTXE,GTX ECN
XBDA,BERMUDA STOCK EXCHANGE LTD
XBOL,BOLSA BOLIVIANA DE VALORES S.A.
BLBF,BANJA LUKA STOCK EXCHANGE - FREE MARKET
XBLB,BANJA LUKA STOCK EXCHANGE
XSSE,SARAJEVO STOCK EXCHANGE
