Anzahl;Bezeichnung;WKN;Typ;W�hrung;Kurs;Diff. abs;Diff. %;Wert in EUR;Diff. abs;Diff. %;Datum;Zeit;B�rse;Kaufkurs in EUR;Kaufwert in EUR;Vola;Diff. zum Jahreshoch;1M;KGVe;DIVe
30;ALIBABA GROUP HLDG LTD;A2PVFU;Aktie;EUR;12,272;-0,576;-4,48%;368,16;-66,78;-15,35%;22.07.22;22:27:08;Tradegate;14,498;434,94;66,07;-43,51%;-0,48%;15,25;0,00%
9;HALMA PLC SHARES LS -,10;865047;Aktie;EUR;27;0;0,00%;243;-31,68;-11,53%;22.07.22;22:27:01;Tradegate;30,52;274,68;34,46;-31,12%;21,05%;27,33;1,04%
10;TENCENT HLDGS   HD-,00002;A1138D;Aktie;EUR;41;-1,35;-3,19%;410;-176,8;-30,13%;22.07.22;22:26:54;Tradegate;58,68;586,8;52,28;-28,34%;-9,30%;26,21;0,38%
6;D.R.HORTON INC.    DL-,01;884312;Aktie;EUR;75,77;1,48;1,99%;454,62;-113,58;-19,99%;22.07.22;22:26:48;Tradegate;94,7;568,2;38,41;-24,59%;24,81%;3,92;1,34%
2;APPLE INC.;865985;Aktie;EUR;150,9;-1,24;-0,82%;301,8;80,4;36,31%;22.07.22;22:26:47;Tradegate;110,7;221,4;29,44;-6,65%;17,83%;22,56;0,65%
5;AMAZON.COM INC.    DL-,01;906866;Aktie;EUR;119,9;-2,2;-1,80%;599,5;30,2;5,31%;22.07.22;22:26:47;Tradegate;113,86;569,3;41,92;-26,51%;16,24%;148,63;0,00%
6;PAYPAL HDGS INC.DL-,0001;A14R7U;Aktie;EUR;79,36;-1,69;-2,09%;476,16;-276,78;-36,76%;22.07.22;22:26:56;Tradegate;125,49;752,94;55,13;-69,41%;14,88%;19,12;0,00%
2;AIRBNB INC.     DL-,01;A2QG35;Aktie;EUR;101,82;-4,06;-3,84%;203,64;-96,36;-32,12%;22.07.22;22:27:13;Tradegate;150;300;57,97;-43,45%;7,90%;53,18;0,00%
1;META PLATF.  A DL-,000006;A1JWVX;Aktie;EUR;166,6;-12,94;-7,21%;166,6;-50,4;-23,23%;22.07.22;17:35:31;XETRA;217;217;48,34;-44,72%;10,84%;13,53;0,00%
1;THERMO FISH.SCIENTIF.DL 1;857209;Aktie;EUR;550;-13,2;-2,34%;550;31,2;6,01%;22.07.22;22:26:49;Tradegate;518,8;518,8;29,18;-10,00%;11,78%;23,76;0,22%
1;ASML HOLDING    EO -,09;A1J4U4;Aktie;EUR;523,8;-8,7;-1,63%;523,8;-38,6;-6,86%;22.07.22;22:26:52;Tradegate;562,4;562,4;43,3;-31,43%;14,06%;28,35;1,20%
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
